Core,Plot,Day,Treatment,LandUse,Drought,Cmin
W14 P1 C2,W14P1,3,Reference - Control,Reference,Control,2.026915606
W14 P1 C4,W14P1,7,Reference - Control,Reference,Control,0.976671417
W14 P1 C5,W14P1,14,Reference - Control,Reference,Control,0.6888
W14 P1 C6,W14P1,21,Reference - Control,Reference,Control,0.9024
W14 P1 C3,W14P1,28,Reference - Control,Reference,Control,0.9
W14 P1 C2,W14P1,35,Reference - Control,Reference,Control,1.0368
W14 P1 C3,W14P1,42,Reference - Control,Reference,Control,0.6552
W14 P1 C4,W14P1,44,Reference - Control,Reference,Control,0.685555023
W14 P1 C5,W14P1,49,Reference - Control,Reference,Control,0.4728
W14 P1 C5,W14P1,56,Reference - Control,Reference,Control,0.5232
W14 P1 C6,W14P1,63,Reference - Control,Reference,Control,0.8928
W14 P1 C6,W14P1,70,Reference - Control,Reference,Control,0.8928
W14 P1 C6,W14P1,77,Reference - Control,Reference,Control,0.9552
W14 P1 C6,W14P1,84,Reference - Control,Reference,Control,0.9136
W14 P2 C2,W14P2,3,Reference - Control,Reference,Control,1.324029864
W14 P2 C4,W14P2,7,Reference - Control,Reference,Control,0.894108487
W14 P2 C5,W14P2,14,Reference - Control,Reference,Control,0.6576
W14 P2 C6,W14P2,21,Reference - Control,Reference,Control,0.564
W14 P2 C3,W14P2,28,Reference - Control,Reference,Control,0.6048
W14 P2 C2,W14P2,35,Reference - Control,Reference,Control,0.696
W14 P2 C3,W14P2,42,Reference - Control,Reference,Control,0.5592
W14 P2 C4,W14P2,44,Reference - Control,Reference,Control,0.671016177
W14 P2 C5,W14P2,49,Reference - Control,Reference,Control,0.5088
W14 P2 C5,W14P2,56,Reference - Control,Reference,Control,0.6552
W14 P2 C6,W14P2,63,Reference - Control,Reference,Control,0.6552
W14 P2 C6,W14P2,70,Reference - Control,Reference,Control,0.5856
W14 P2 C6,W14P2,77,Reference - Control,Reference,Control,0.5904
W14 P2 C6,W14P2,84,Reference - Control,Reference,Control,0.6104
W14 P3 C2,W14P3,3,Reference - Control,Reference,Control,1.107639241
W14 P3 C4,W14P3,7,Reference - Control,Reference,Control,0.697213536
W14 P3 C5,W14P3,14,Reference - Control,Reference,Control,1.236
W14 P3 C6,W14P3,21,Reference - Control,Reference,Control,0.7464
W14 P3 C3,W14P3,28,Reference - Control,Reference,Control,0.732
W14 P3 C2,W14P3,35,Reference - Control,Reference,Control,0.624
W14 P3 C3,W14P3,42,Reference - Control,Reference,Control,0.5424
W14 P3 C4,W14P3,44,Reference - Control,Reference,Control,0.632342409
W14 P3 C5,W14P3,49,Reference - Control,Reference,Control,0.6432
W14 P3 C5,W14P3,56,Reference - Control,Reference,Control,0.6528
W14 P3 C6,W14P3,63,Reference - Control,Reference,Control,0.5808
W14 P3 C6,W14P3,70,Reference - Control,Reference,Control,0.4632
W14 P3 C6,W14P3,77,Reference - Control,Reference,Control,0.6
W14 P3 C6,W14P3,84,Reference - Control,Reference,Control,0.548
W14 P4 C2,W14P4,3,Reference - Control,Reference,Control,1.000514439
W14 P4 C4,W14P4,7,Reference - Control,Reference,Control,0.527598664
W14 P4 C5,W14P4,14,Reference - Control,Reference,Control,0.7944
W14 P4 C6,W14P4,21,Reference - Control,Reference,Control,0.8784
W14 P4 C3,W14P4,28,Reference - Control,Reference,Control,0.5112
W14 P4 C2,W14P4,35,Reference - Control,Reference,Control,0.6264
W14 P4 C3,W14P4,42,Reference - Control,Reference,Control,0.4536
W14 P4 C4,W14P4,44,Reference - Control,Reference,Control,0.505838274
W14 P4 C5,W14P4,49,Reference - Control,Reference,Control,0.5688
W14 P4 C5,W14P4,56,Reference - Control,Reference,Control,0.6576
W14 P4 C6,W14P4,63,Reference - Control,Reference,Control,0.84
W14 P4 C6,W14P4,70,Reference - Control,Reference,Control,0.7416
W14 P4 C6,W14P4,77,Reference - Control,Reference,Control,0.7392
W14 P4 C6,W14P4,84,Reference - Control,Reference,Control,0.7736
W14 P5 C2,W14P5,3,Reference - Control,Reference,Control,1.062639507
W14 P5 C4,W14P5,7,Reference - Control,Reference,Control,1.805051412
W14 P5 C5,W14P5,14,Reference - Control,Reference,Control,0.5568
W14 P5 C6,W14P5,21,Reference - Control,Reference,Control,0.696
W14 P5 C3,W14P5,28,Reference - Control,Reference,Control,0.816
W14 P5 C2,W14P5,35,Reference - Control,Reference,Control,0.8736
W14 P5 C3,W14P5,42,Reference - Control,Reference,Control,0.6096
W14 P5 C4,W14P5,44,Reference - Control,Reference,Control,0.956260339
W14 P5 C5,W14P5,49,Reference - Control,Reference,Control,0.4008
W14 P5 C5,W14P5,56,Reference - Control,Reference,Control,0.468
W14 P5 C6,W14P5,63,Reference - Control,Reference,Control,0.5712
W14 P5 C6,W14P5,70,Reference - Control,Reference,Control,0.8832
W14 P5 C6,W14P5,77,Reference - Control,Reference,Control,0.5184
W14 P5 C6,W14P5,84,Reference - Control,Reference,Control,0.6576
W14 P6 C2,W14P6,3,Reference - Control,Reference,Control,1.27818063
W14 P6 C4,W14P6,7,Reference - Control,Reference,Control,1.006191683
W14 P6 C5,W14P6,14,Reference - Control,Reference,Control,0.7728
W14 P6 C6,W14P6,21,Reference - Control,Reference,Control,0.6456
W14 P6 C3,W14P6,28,Reference - Control,Reference,Control,0.6816
W14 P6 C2,W14P6,35,Reference - Control,Reference,Control,0.6432
