Core,LandUse,Treatment,Plot,Label,Day,Core Wt,Dry Soil,Core + Soil,GVM,BD,VWC,A,B,WP,WP2
2,Reference,Control,W14P1,C1,0,115.32,105.0738082,257.12,0.34952756,0.552580892,0.193142251,0.002050577,-5.522624375,18.01804216,-18.01804216
3,Reference,Drought,W14P1,D1,0,116.38,95.30769162,245.08,0.350363206,0.552580892,0.193604013,0.002050577,-5.522624375,17.78198637,-17.78198637
4,Reference,Control,W14P1,C2,0,116.19,110.261057,265.02,0.349796602,0.552580892,0.193290918,0.002050577,-5.522624375,17.94164077,-17.94164077
5,Reference,Drought,W14P1,D2,0,112.62,122.644813,278.75,0.354561974,0.552580892,0.195924172,0.002050577,-5.522624375,16.64976324,-16.64976324
6,Reference,Control,W14P1,C3,0,114.41,94.68330056,242.16,0.349234757,0.552580892,0.192980453,0.002050577,-5.522624375,18.10162851,-18.10162851
7,Reference,Drought,W14P1,D3,0,117.58,116.6410528,275.05,0.350039255,0.552580892,0.193425004,0.002050577,-5.522624375,17.87306098,-17.87306098
8,Reference,Control,W14P1,C4,0,116.75,115.1761353,272.33,0.350800664,0.552580892,0.193845743,0.002050577,-5.522624375,17.65986919,-17.65986919
9,Reference,Drought,W14P1,D4,0,113.26,107.1551117,258.25,0.35308524,0.552580892,0.195108157,0.002050577,-5.522624375,17.03798925,-17.03798925
10,Reference,Control,W14P1,C5,0,116.29,121.7242364,280.52,0.349197209,0.552580892,0.192959705,0.002050577,-5.522624375,18.11238042,-18.11238042
11,Reference,Drought,W14P1,D5,0,113.53,102.5202088,251.87,0.349392491,0.552580892,0.193067614,0.002050577,-5.522624375,18.05654348,-18.05654348
12,Reference,Control,W14P1,C6,0,116.45,83.50830161,229.09,0.348847933,0.552580892,0.192766702,0.002050577,-5.522624375,18.21275801,-18.21275801
13,Reference,Drought,W14P1,D6,0,113.58,78.69728845,219.81,0.349855911,0.552580892,0.193323691,0.002050577,-5.522624375,17.92484981,-17.92484981
15,Reference,Control,W14P2,C1,0,114.98,72.64288289,213.12,0.350992638,0.552580892,0.193951825,0.004125371,-5.093801368,17.53108965,-17.53108965
16,Reference,Drought,W14P2,D1,0,117.81,70.95408272,213.78,0.352564875,0.552580892,0.194820613,0.004125371,-5.093801368,17.13648183,-17.13648183
