#SampleID,SubjectID,Distance,LandUse,Day,Plot
3,1,0.376769189,Reference,1,W14P1
5,13,0.434131737,Reference,42,W14P1
7,25,0.453388677,Reference,43,W14P1
9,37,0.665691345,Reference,45,W14P1
11,49,0.618603702,Reference,56,W14P1
13,61,0.537765378,Reference,84,W14P1
16,2,0.374591726,Reference,1,W14P2
18,14,0.452980403,Reference,42,W14P2
20,26,0.537697333,Reference,43,W14P2
22,38,0.596148612,Reference,45,W14P2
24,50,0.632893304,Reference,56,W14P2
26,62,0.639289603,Reference,84,W14P2
29,3,0.471352749,Reference,1,W14P3
31,15,0.459104518,Reference,42,W14P3
33,27,0.435424605,Reference,43,W14P3
35,39,0.562465977,Reference,45,W14P3
37,51,0.621189439,Reference,56,W14P3
39,63,0.574305934,Reference,84,W14P3
42,4,0.375,Reference,1,W14P4
44,16,0.50796135,Reference,42,W14P4
46,28,0.563010343,Reference,43,W14P4
48,40,0.651469788,Reference,45,W14P4
50,52,0.565596081,Reference,56,W14P4
52,64,0.454001089,Reference,84,W14P4
55,5,0.458968427,Reference,1,W14P5
57,17,0.428688078,Reference,42,W14P5
59,29,0.457471421,Reference,43,W14P5
61,41,0.559608057,Reference,45,W14P5
63,53,0.599891127,Reference,56,W14P5
65,65,0.391603157,Reference,84,W14P5
68,6,0.377585738,Reference,1,W14P6
70,18,0.420318454,Reference,42,W14P6
72,30,0.457267284,Reference,43,W14P6
74,42,0.411676647,Reference,45,W14P6
76,54,0.478293413,Reference,56,W14P6
78,66,0.414874796,Reference,84,W14P6
81,7,0.490745781,Disturbed,1,W6P1
83,19,0.469243332,Disturbed,42,W6P1
85,31,0.427054981,Disturbed,43,W6P1
87,43,0.675081655,Disturbed,45,W6P1
89,55,0.600435493,Disturbed,56,W6P1
91,67,0.593222646,Disturbed,84,W6P1
96,20,0.580021775,Disturbed,42,W6P2
98,32,0.561377246,Disturbed,43,W6P2
100,44,0.587438759,Disturbed,45,W6P2
102,56,0.452367991,Disturbed,56,W6P2
104,68,0.63949374,Disturbed,84,W6P2
107,9,0.412765378,Disturbed,1,W6P3
109,21,0.453048449,Disturbed,42,W6P3
111,33,0.61989657,Disturbed,43,W6P3
113,45,0.563554709,Disturbed,45,W6P3
115,57,0.528851388,Disturbed,56,W6P3
117,69,0.566140446,Disturbed,84,W6P3
120,10,0.571243876,Disturbed,1,W6P4
122,22,0.514085465,Disturbed,42,W6P4
124,34,0.515650517,Disturbed,43,W6P4
126,46,0.697196516,Disturbed,45,W6P4
128,58,0.633641807,Disturbed,56,W6P4
130,70,0.564099075,Disturbed,84,W6P4
133,11,0.595127926,Disturbed,1,W6P5
135,23,0.470127926,Disturbed,42,W6P5
137,35,0.656573217,Disturbed,43,W6P5
139,47,0.649020142,Disturbed,45,W6P5
141,59,0.659975504,Disturbed,56,W6P5
143,71,0.560628743,Disturbed,84,W6P5
146,12,0.516194883,Disturbed,1,W6P6
148,24,0.393984758,Disturbed,42,W6P6
150,36,0.669637997,Disturbed,43,W6P6
152,48,0.515242243,Disturbed,45,W6P6
154,60,0.58709853,Disturbed,56,W6P6
156,72,0.643032118,Disturbed,84,W6P6
