Plot,id,WS,Pair,Use,pH,Moisture,NH4,NO3,DOC,TDN,DOC:TDN,DON,MBC,MBN,MBC:N,TC,TN,C:N,SIR,ITS,bac,FB
1,FD1,2,Cable Logged,Reference,5.26,0.26,0.92,0.069203575,485.926472,53.32011253,9.113380466,52.26388773,102.6881469,22.23180113,4.618975597,26.7,1.41,18.93617021,69.45019417,8.13609757,9.559406631,0.037730359
2,FD2,2,Cable Logged,Reference,5.08,0.25,1.13,0.037360648,357.4841677,35.45755984,10.0820296,34.22286083,145.5297061,20.74404829,7.015492061,24.37,1.33,18.32330827,60.45749137,8.257400941,9.503464796,0.056746116
3,FD3,2,Cable Logged,Reference,5.39,0.29,1.09,0.059881771,345.9334543,34.6622594,9.980118443,33.4459328,201.4090814,43.93266714,4.58449474,30.69,1.55,19.8,58.19669336,8.094656398,9.595459106,0.031564382
4,FD4,2,Cable Logged,Reference,5.53,0.27,1.33,0.05056796,303.7078836,36.29099342,8.368684761,34.84328,NA,21.09250474,NA,31.33,1.73,18.10982659,65.08699974,8.149019579,9.567253414,0.038173868
5,FD5,2,Cable Logged,Reference,5.35,0.29,1.61,0.099277665,403.4808124,43.74206096,9.224092408,41.96608177,125.6424863,32.43948198,3.873134792,33.01,1.71,19.30409357,68.87921231,8.409753182,9.741571507,0.04657809
6,FD6,2,Cable Logged,Reference,5.18,0.29,1.14,0.056791982,338.0688502,33.9579692,9.955508476,32.69483663,168.058112,35.45000785,4.740707328,36.81,1.9,19.37368421,70.1597606,7.911502761,9.348131431,0.036590752
7,FD7,7,Cable Logged,Disturbed,5.18,0.26,1,0.047053634,393.7625568,36.61963792,10.75277035,35.50570017,93.7277337,22.19857729,4.222240573,24.71,1.19,20.76470588,64.33403225,8.046619429,9.472465429,0.037510599
8,FD8,7,Cable Logged,Disturbed,5.4,0.22,1.79,0.043368691,249.3971598,27.3027256,9.13451512,25.40124744,132.3746822,31.76713265,4.167032752,23.2,1.33,17.44360902,74.19600759,8.162730503,9.544556446,0.041512038
9,FD9,7,Cable Logged,Disturbed,5.4,0.23,1.63,0.070563854,279.8600753,33.22250753,8.423809523,31.45571924,105.3003692,24.85606316,4.236405762,21.5,1.23,17.4796748,62.20861816,8.277844231,9.544919441,0.054066069
10,FD10,7,Cable Logged,Disturbed,5.51,0.25,2.16,0.071714275,237.1705759,31.13503754,7.61748161,28.83575117,146.3511158,32.93714278,4.443345823,28.09,1.9,14.78421053,84.16571871,8.140465193,9.547194069,0.039198651
