Plot,WS,Pair,Use,Disturbance,pH,Moisture,NH4,Nmin,NO3,Nit,TFPA,DOC,TDN,DOC.TDN,DON,TC,TN,C.N,SIR,MBC,MBC2,MBN,MBC.N,Labile.C,CO2,qCO2,ITS,bac,FB,NAG,BG,XYL,LAP,CHB,logAOA,logAOB,logCAOB,gNit,gNmin,qNH4,NH4imm,NO3imm
1,2,Cable Logged,Reference,0,5.26,0.347844105,0.92,-0.137705017,0.069203575,0.021576388,24.08,485.926472,53.32011253,9.113380466,52.26388773,26.7,1.41,18.93617021,69.45019417,102.6881469,0.102688147,22.23180113,4.618975597,246.99,0.53,5.161257809,8.13609757,9.559406631,0.037730359,207,115,27,45,8,5.508055892,2.460674952,6.691680337,0.022445883,1.896007182,18.46373937,2.032793831,0.009750634
2,2,Cable Logged,Reference,0,5.08,0.327442405,1.13,-0.138475127,0.037360648,0.036623081,18.48,357.4841677,35.45755984,10.0820296,34.22286083,24.37,1.33,18.32330827,60.45749137,145.5297061,0.145529706,20.74404829,7.015492061,216.12,0.48,3.298295673,8.257400941,9.503464796,0.056746116,86,94,18,43,3,4.578749485,2.460674952,6.366448746,0.099536268,1.086100743,7.463086217,1.162484856,0.075627592
3,2,Cable Logged,Reference,0,5.39,0.413386347,1.09,-0.634047822,0.059881771,0.032618237,23.77,345.9334543,34.6622594,9.980118443,33.4459328,30.69,1.55,19.8,58.19669336,201.4090814,0.201409081,43.93266714,4.58449474,208.5,0.43,2.13495835,8.094656398,9.595459106,0.031564382,191,121,34,52,14,6.7932102,2.569149971,6.590856424,0.151684674,1.867026143,9.269821071,2.383160693,0.126082436
4,2,Cable Logged,Reference,0,5.53,0.360789333,1.33,-0.084175193,0.05056796,0.021601651,30.43,303.7078836,36.29099342,8.368684761,34.84328,31.33,1.73,18.10982659,65.08699974,102.6881469,NA,21.09250474,4.066122002,206.23,0.41,5.616441031,8.149019579,9.567253414,0.038173868,219,193,63,51,31,6.856422754,3.208862421,6.800829928,0.090633508,1.35708291,5.336441199,1.371673303,0.069296624
5,2,Cable Logged,Reference,0,5.35,0.40641316,1.61,-0.222907458,0.099277665,-0.044856585,30.2,403.4808124,43.74206096,9.224092408,41.96608177,33.01,1.71,19.30409357,68.87921231,125.6424863,0.125642486,32.43948198,3.873134792,237.48,0.49,3.89995466,8.409753182,9.741571507,0.04657809,425,242,40,75,19,5.968484453,2.40459547,6.508845015,0.165484079,1.851905636,14.73948578,1.865766869,0.221318555
6,2,Cable Logged,Reference,0,5.18,0.411314453,1.14,-0.250199363,0.056791982,-0.016484413,19.2,338.0688502,33.9579692,9.955508476,32.69483663,36.81,1.9,19.37368421,70.1597606,168.058112,0.168058112,35.45000785,4.740707328,221.11,0.45,2.677645219,7.911502761,9.348131431,0.036590752,220,117,64,15,35,5.640421726,4.598348782,6.307630398,0.075590406,0.896832233,5.336441199,1.055591483,0.103457879
7,7,Cable Logged,Disturbed,1,5.18,0.354874812,1,-0.46557192,0.047053634,0.026006509,20.04,393.7625568,36.61963792,10.75277035,35.50570017,24.71,1.19,20.76470588,64.33403225,93.7277337,0.093727734,22.19857729,4.222240573,235.73,0.48,5.121216326,8.046619429,9.472465429,0.037510599,187,125,36,29,13,6.338605463,2.624814349,6.383614344,0.171891871,0.90212915,9.624996907,1.221590467,0.155459427
8,7,Cable Logged,Disturbed,1,5.4,0.287384091,1.79,-0.219711418,0.043368691,0.05319608,19.95,249.3971598,27.3027256,9.13451512,25.40124744,23.2,1.33,17.44360902,74.19600759,132.3746822,0.132374682,31.76713265,4.167032752,246.77,0.6,4.532588786,8.162730503,9.544556446,0.041512038,258,95,46,14,23,5.852585138,5.103946112,6.842429817,0.209662774,1.654217078,12.49647631,1.716143748,0.16516912
9,7,Cable Logged,Disturbed,1,5.4,0.306119182,1.63,-0.706811323,0.070563854,0.036131302,19.91,279.8600753,33.22250753,8.423809523,31.45571924,21.5,1.23,17.4796748,62.20861816,105.3003692,0.105300369,24.85606316,4.236405762,191.76,0.37,3.513757861,8.277844231,9.544919441,0.054066069,205,144,39,34,16,6.038914058,2.83645177,6.390732566,0.252291241,0.894448111,8.49425429,1.385637629,0.215461882
10,7,Cable Logged,Disturbed,1,5.51,0.326281291,2.16,-0.423993378,0.071714275,-0.041213703,24.89,237.1705759,31.13503754,7.61748161,28.83575117,28.09,1.9,14.78421053,84.16571871,146.3511158,0.146351116,32.93714278,4.443345823,301.73,0.65,4.441373723,8.140465193,9.547194069,0.039198651,349,214,88,36,37,5.26874648,2.892832596,6.361592068,0.111301928,1.289246387,8.809269257,1.560171552,0.149198365
