Soil,id,Glucose,Cellulose,Chitin,Lignin,Glycine,Yeast,Oxalic,Total,%Glucose,%Cellulose,%Chitin,%lignin,%Glycine,%Yeast,%Oxalic,Plot,WS,Pair,Use,pH,Moisture,NH4,NO3,DOC,TDN,DOC.TDN,DON,TC,TN,C.N,MBC,MBC2,MBN,MBC.N,Glucose2,Cellulose2,Chitin2,Lignin2,Glycine2,Yeast2,Oxalic2
1,FD1,1.431707177,0.476366711,0.332062353,1.186812284,0.350679268,1.179294443,0.388916566,5.345838801,0.267817125,0.089109816,0.062116043,0.222006747,0.065598549,0.22060045,0.072751271,1,2,Cable Logged,Reference,5.26,0.347844105,0.92,0.069203575,485.926472,53.32011253,9.113380466,52.26388773,26.7,1.41,18.93617021,102.6881469,0.102688147,22.23180113,4.618975597,13.94228271,4.638964914,3.233697,11.55744181,3.41499266,11.48423141,3.787355961
2,FD2,0.886468429,0.375015146,0.246621229,0.612120549,0.143813388,0.953130069,0.316406712,3.533575522,0.250870096,0.106129088,0.069793677,0.173229791,0.040699113,0.269735304,0.089542932,2,2,Cable Logged,Reference,5.08,0.327442405,1.13,0.037360648,357.4841677,35.45755984,10.0820296,34.22286083,24.37,1.33,18.32330827,145.5297061,0.145529706,20.74404829,7.015492061,6.091322888,2.576897572,1.694645277,4.206155333,0.988206408,6.549384967,2.174172689
3,FD3,1.173763453,0.350936579,0.26073507,1.040920991,0.318165825,0.817634651,0.084629847,4.046786416,0.290048283,0.086719817,0.064430153,0.257221628,0.078621848,0.202045417,0.020912852,3,2,Cable Logged,Reference,5.39,0.413386347,1.09,0.059881771,345.9334543,34.6622594,9.980118443,33.4459328,30.69,1.55,19.8,201.4090814,0.201409081,43.93266714,4.58449474,5.827758347,1.742406933,1.294554685,5.168192944,1.579699503,4.059571926,0.420188836
4,FD4,1.159223195,0.394946723,0.250555359,0.979116556,0.43611658,1.050733849,0.111495008,4.382187269,0.264530729,0.090125478,0.057175868,0.223431017,0.099520297,0.239773835,0.025442776,4,2,Cable Logged,Reference,5.53,0.360789333,1.33,0.05056796,303.7078836,36.29099342,8.368684761,34.84328,31.33,1.73,18.10982659,102.6881469,0.102688147,21.09250474,4.066122002,11.28877314,3.84607898,2.439963779,9.534854662,4.247000194,10.23227977,1.08576317
5,FD5,1.223276782,0.383697499,0.215168922,0.911872159,0.394503414,1.057317507,0.121203814,4.307040098,0.284017969,0.089086122,0.049957492,0.211716663,0.091595018,0.245485875,0.02814086,5,2,Cable Logged,Reference,5.35,0.40641316,1.61,0.099277665,403.4808124,43.74206096,9.224092408,41.96608177,33.01,1.71,19.30409357,125.6424863,0.125642486,32.43948198,3.873134792,9.736171428,3.053883375,1.712549069,7.257673641,3.139888639,8.415286427,0.964672201
6,FD6,1.326056303,0.293086704,0.188643532,0.822172029,0.539205137,1.090368046,0.154496453,4.414028203,0.300418629,0.06639892,0.042737274,0.186263429,0.122157157,0.247023353,0.035001238,6,2,Cable Logged,Reference,5.18,0.411314453,1.14,0.056791982,338.0688502,33.9579692,9.955508476,32.69483663,36.81,1.9,19.37368421,168.058112,0.168058112,35.45000785,4.740707328,7.890462929,1.74396047,1.122489894,4.892188891,3.208444572,6.488041742,0.919303753
7,FD7,1.179607554,0.262309259,0.127783977,0.85398147,0.254944609,0.818542933,0.260388444,3.757558246,0.31392928,0.069808434,0.034007185,0.227270321,0.067848478,0.217839054,0.069297248,7,7,Cable Logged,Disturbed,5.18,0.354874812,1,0.047053634,393.7625568,36.61963792,10.75277035,35.50570017,24.71,1.19,20.76470588,93.7277337,0.093727734,22.19857729,4.222240573,12.58546967,2.798630112,1.363352889,9.111299655,2.720055191,8.733198785,2.778136558
8,FD8,1.431869274,0.25817941,0.181955293,0.991714424,0.527947795,1.14711557,0.064178101,4.602959867,0.311075768,0.056089868,0.039530063,0.21545146,0.114697458,0.249212594,0.013942789,8,7,Cable Logged,Disturbed,5.4,0.287384091,1.79,0.043368691,249.3971598,27.3027256,9.13451512,25.40124744,23.2,1.33,17.44360902,132.3746822,0.132374682,31.76713265,4.167032752,10.81679104,1.950368501,1.374547539,7.491722807,3.988283764,8.665671959,0.484821565
9,FD9,1.025591367,0.15836294,0.162349333,0.845155373,0.272724332,0.780149224,0.007037115,3.251369683,0.315433638,0.048706532,0.049932597,0.259938258,0.083879829,0.239944793,0.002164354,9,7,Cable Logged,Disturbed,5.4,0.306119182,1.63,0.070563854,279.8600753,33.22250753,8.423809523,31.45571924,21.5,1.23,17.4796748,105.3003692,0.105300369,24.85606316,4.236405762,9.739674953,1.503916288,1.54177364,8.026138755,2.589965584,7.408798581,0.066828969
10,FD10,1.382282629,0.289042292,0.137428827,0.842188929,0.424346281,1.259790551,0.223554549,4.558634058,0.303222986,0.063405461,0.030146931,0.184745895,0.093086279,0.276352639,0.04903981,10,7,Cable Logged,Disturbed,5.51,0.326281291,2.16,0.071714275,237.1705759,31.13503754,7.61748161,28.83575117,28.09,1.9,14.78421053,146.3511158,0.146351116,32.93714278,4.443345823,9.444974982,1.974992061,0.939035047,5.754578111,2.899508334,8.608000985,1.527522
11,FD11,1.409443153,0.436649186,0.432617851,1.3152846,0.550939199,0.864729099,0.351959428,5.361622517,0.262876237,0.081439748,0.080687861,0.245314659,0.102756059,0.161281235,0.065644201,11,7,Cable Logged,Disturbed,5.23,0.464050734,2.08,0.342265022,217.3661919,27.66584703,7.856842108,25.17711002,38.9,2.17,17.92626728,177.9331274,0.177933127,39.05791496,4.555622787,7.921195885,2.454007262,2.431350804,7.392016437,3.096327304,4.859854451,1.978043292
12,FD12,1.427555883,0.591993115,0.307789269,1.143215243,0.574917206,1.147337871,0.400102071,5.592910658,0.25524382,0.105847054,0.055032038,0.204404346,0.102793919,0.205141462,0.071537361,12,7,Cable Logged,Disturbed,6.03,0.421161708,2.04,2.150903265,229.9046845,39.46365416,5.825732295,35.20616589,30.74,2.27,13.54185022,120.3706804,0.12037068,33.36122142,3.60810172,11.85966452,4.918083995,2.557011968,9.497456048,4.776222962,9.531705491,3.323916347
13,FD13,1.515134833,0.408243536,0.174201637,1.062331111,0.65897894,1.294421769,0.521537455,5.634849281,0.268886488,0.07244977,0.030915048,0.188528754,0.116947039,0.229717195,0.092555706,13,6,Pasture Conversion,Disturbed,5.31,0.36391938,1.64,0.05408179,379.1652644,49.77525187,7.617545872,48.01450566,27.39,1.73,15.83236994,127.5922152,0.127592215,32.94258909,3.873169011,11.87482193,3.199595959,1.365299889,8.325986904,5.164726861,10.14499019,4.087533516
14,FD14,1.420313418,1.072789559,0.23573048,1.137120951,0.53036304,1.15263359,0.656985676,6.205936714,0.228863664,0.17286505,0.037984673,0.183231155,0.085460594,0.1857308,0.105864063,14,6,Pasture Conversion,Disturbed,5.54,0.412906136,2.02,0.31444683,257.1205248,38.28407883,6.716121496,35.88273011,35.04,2.49,14.07228916,192.9438682,0.192943868,44.78945481,4.307796757,7.361277829,5.560112223,1.221756785,5.893532471,2.748794485,5.973932222,3.405061187
15,FD15,1.637548682,0.490935567,0.305696485,0.952939466,0.401987194,1.815107559,0.456439588,6.060654542,0.270193371,0.081003721,0.050439517,0.157233754,0.066327356,0.299490351,0.07531193,15,6,Pasture Conversion,Disturbed,5.75,0.420039678,2.43,0.311553266,212.6047155,31.71641765,6.703301673,28.90751961,41.33,2.68,15.42164179,177.319786,0.177319786,41.04008076,4.320649051,9.235002586,2.768645159,1.723984063,5.374129351,2.267018268,10.23635094,2.5741041
16,FD16,1.665037259,0.610813303,0.413186812,0.811921682,0.901066453,1.924131895,0.455867565,6.782024968,0.245507391,0.090063559,0.060923812,0.119716705,0.132860975,0.28371053,0.067217028,16,6,Pasture Conversion,Disturbed,5.79,0.445169743,1.76,0.306105862,289.9851054,39.89809785,7.268143622,37.76395957,46.25,2.92,15.8390411,160.4116141,0.160411614,36.92438625,4.344327161,10.37977997,3.80778728,2.575791127,5.061489386,5.617214552,11.99496624,2.841861343
