sequence,16S_rRNA_Count
00030c885f92ac4cf51176f715841998,1
00056c4c5a30dbbfa64dfa34fe792941,1
000be96851edb6859e1f40816fe0ebe2,1
0011ed7a8f7d9ddc820b7867db53141e,1
0015f99c766b29fdd34853c622c70e83,1
002c48893a45a0b299f6c0ba8547877f,1
002f516b9d056c23be1ba360dcf4bc04,1
002ff8689b20c40a9e512e119cf4127b,1
004435b9675b9672ed366d38f65c7b8b,1
0045af177d32a2eb84810f0c7eded2a3,1
0048818779b89a15c84d2a770e6e4ed9,1
0049f83f9f94feb37add86aace78e5b2,3
00507cec4505e1a5dbd93d514d665323,1
0052321af493a9f9c43468d6bdb11ac3,1
0059647467d07a6bbcb3ac11a34c665b,1
00601e2811a2700531292b1afeed068d,1
00629a0382a2e71501abe3c89277abab,1
0069d3aee3702e876eb82ffff127bd5c,1
006b356040679413a6c761be093a22e3,1
00751fa634535475b17f4deb25546884,2
007694173428330fe90ad00307f1a3c7,1
00799f036e47a349022c40887918d570,3
00847da571630b81d9470b6181211453,3
0084851714725b9fad4969ff22e22d20,3
008777b589f72161502e6c6b71bc6a34,1
00912d522af24b8dc275b8e1fb366d5f,1
00994df3589576792926e8c4922ddb7a,1
00a6d771c7a257dca2458a0cc00e7daf,1
00ab624f0dadf2353c54d0189705afc2,1
00b1a5bf200dbeae8e7d314b3de7e78d,2
00b375362a354bdd8dc365fc1c0b5505,3
00b5e1fc48185d00131f19a6811fdccc,2
00b647d4d685e9e961b9e4cb7079ad19,1
00b6b0aa6e256c3db79777d0a8b95ea6,1
00be932d1866b680d234871a32d8e1de,1
00bf32ef3884ee00e02dff8155b55307,1
00c6085c7f4abbb4d914b39b745c0a4e,1
00cd82a2875c15c9e12689edde56a828,2
00d783c4c1349eb4f1e4b48692090f9c,2
00dd4f27bc660c82974e565eeada73dd,1
00df1386785709f5512812c458cf5545,1
00e5c53e5de89d9e75ef2771ed62717f,1
00ecae329ddb6f2457a662b76cdc4c01,1
00ed1fef3d7250048a2e7f382f7410ca,1
00eeb3b2a746e8c3cf61cbc80c101702,3
00ef75640fc2c3c51cb61f1375ba97ee,1
00fd9a78f047734777e37769c10f4aec,1
00fe1140e52362cdd25fc1525bdc1af1,1
00ff32203c3e89885dc25455dbe00e19,2
0101c1b6a26adbbcc45a8422039962e2,2
0103ef517e348e398cf615058886a9d0,1
01044deb871d86af57ee64748b6ee03f,1
01072f9e10cf833d15194dec65998d2a,1
0107ba5d03c6c1903004514660e16c25,3
010f415473a83054a4af1011cc03b3af,3
0115885b52ccaa3f733ea9162bb7d432,1
01164ecc8eb7c02efae73bf4ab01274d,1
011c28c69fc913d1229d2099c0abdb8f,1
011d75d0f20e5e9e245d0ed17bb459fa,3
011ee5980c5b066770219a3cf92e9a2c,3
01213017a603b35f67d398ef4e4c50e7,1
0121b4ed01407c7eb10333a7b58409de,1
013b4b773dfdf2197ef709fd5a33d3cf,1
013bc50f9159f6f99d4829be0b9c3d52,1
01407fa4200ba290b94ea679994a55ce,1
014556b92aa3f1b1e9390a322b3e910f,1
014b48301d3fa9d24e1fb561a98b99b8,1
014daf16eb089ab7232f35b116491d5c,1
014e7a3579de3698d2ba37bb72b58435,1
0151ff7e9708d8cbbf4051c71f0fd168,1
0152c5091084353e80a3759e532480cd,1
015b6c6c5b87be659b73a338fd413097,1
015bfc16f24ffbffdda1026c235026ae,1
0161785adccd45eea430124596550964,3
01638fbda140cd49a285834e548ac70d,1
016476dfe438fff063bbc2ed69257209,1
0164a48c84c523f03edc2b920ba3117a,1
0167085d2296efa40371de90a8d7df39,1
01748597fce27599cdfd1da5a0a09e83,1
0174fdaae19eefb3a758e77c798adf65,1
019202cf34198367545bc1e3b2c497d5,1
01968b0953dd92f76495bc03abfb0de4,1
01a248d14ce3fd95dbd8df21c65a22a5,1
01ac538894e1c46f1dd80ad882cbcd1c,3
01bd1cbdf730a5df3bfed773853cbb05,3
01d0f0918e5f5de332633f4f3d5bb4bb,4
01d485ce503c7c9abacd1ac8f38e9ca8,1
01d87a93d71b79fe327e23e98cf0a228,1
01d90390859008d5be59874f8379dd10,1
01df248e5f369d5b88d697f004324f02,3
01df878e81ede9355d1a963c5c3e99d7,1
01ef76b00a58861d533f67be4c01965d,1
01f8e638f59074d2f22591e1179920f6,1
01ff9ae2749506684da951ebdd1abac1,1
020f0649d0fdc79476bb185f1b77627b,2
021033a839f2c76a2c67805ec2725f11,1
0217831953f28c99f28ed0e327ff7de1,1
02239fbdaecb4baed4dc294305ff444a,1
0226422346932700147d34be70035b0c,1
02283153507ecdf3cff8c9e518eb5c34,3
022b5745640f4317a7ea0126d432552e,1
0231010f7525c343da3211b98ff36ae0,1
023b062ad8f372c2d42f06b80bd43577,3
0241a5634c217d00134bcf419a497974,3
024799f6a3a7ddb75ac2e87dc97a6bd6,1
0249e40e700d7a72def34a9a3bde7d3d,1
02531fa9bf3711f2b77a5426b5f9c5e8,1
025797f20bdbbd38177a682f0d9dcf7a,1
025dbdcdd1b8a4e34341510e5b626825,1
0262b0ec9dc9799477fd8da97cedf170,1
026b347cad9721a689e639434d495475,1
0275fa9bc896515fb455ece76fe2e699,1
02777d28bb3e4f443f04003365177301,1
028073cb181ce48d2947eb2eace4b1db,1
