Vol,Seq_Fname,Index,ID_Nbr,ID_Only,Comment_Only,003: 11:0 anteiso,006: 10:0 3OH,011: 12:0,013: 13:0 iso,014: 13:0 anteiso,021: 14:0 iso,022: 14:0 anteiso,025: 14:1 w7c,026: 14:1 w5c,028: 14:0,030: 15:1 iso w9c,031: 15:1 iso w6c,033: 15:4 w3c,034: 15:1 anteiso w9c,035: 15:0 iso,036: 15:3 w3c,037: 15:0 anteiso,039: 15:1 w8c,041: 15:1 w6c,044: 16:0 aldehyde,045: 15:0,047: 16:1 w7c alcohol,048: 15:0 DMA,052: 16:0 iso,053: 16:0 anteiso,054: 16:1 w9c,056: 16:1 w7c,058: 16:1 w5c,061: 16:0,062: 16:2 DMA,063: 16:1 w9c DMA,066: 16:0 10-methyl,068: 17:1 iso w9c,069: 17:1 anteiso w9c,070: 17:1 anteiso w7c,071: 17:0 iso,072: 17:0 anteiso,074: 17:1 w8c,077: 17:0 cyclo w7c,081: 17:0,082: 17:1 w7c 10-methyl,083: 16:0 2OH,084: 17:0 10-methyl,085: 17:0 DMA,086: 18:3 w6c,087: 18:0 iso,088: 18:2 w6c,089: 18:1 w9c,091: 18:1 w7c,093: 18:1 w5c,096: 18:0,097: 18:1 w7c 10-methyl,098: 18:2 DMA,100: 18:1 w7c DMA,102: 18:0 10-methyl,104: 19:4 w6c,105: 19:3 w6c,106: 19:0 iso,107: 19:3 w3c,108: 19:0 anteiso,110: 19:1 w8c,114: 19:0 cyclo w7c,116: 19:0,117: 19:1 w7c 10-methyl,119: 20:4 w6c,120: 20:5 w3c,121: 20:3 w6c,122: 20:0 iso,123: 20:2 w6c,127: 20:1 w4c,128: 20:0 cyclo w6c,129: 20:0,130: 20:0 10-methyl,134: 21:1 w8c,135: 21:1 w6c,137: 21:1 w4c,138: 21:1 w3c,139: 21:0,141: 22:6 w3c,142: 22:4 w6c,143: 22:5 w3c,144: 22:0 iso,145: 22:2 w6c,148: 22:1 w6c,149: 22:1 w5c,152: 22:0,153: 22:0 10-methyl,156: 23:3 w3c,158: 23:1 w4c,159: 23:0,163: 24:1 w9c,164: 24:1 w7c,166: 24:0
DATA2,E215274.PMO,5,6888,146,G=1.6012,0,0,134.3622638,89.96082499,0,329.4100481,55.43104597,0,0,609.4522922,701.5946687,0,319.5213785,0,5863.732416,0,3193.026645,0,100.7964217,0,396.2120842,0,485.8713905,2007.068448,82.42412869,1020.529275,3316.848753,2605.722927,9350.917556,51.95426302,62.13674318,4598.528675,1451.90111,0,0,1355.430914,1312.676607,214.3489433,1895.807664,501.9341555,562.8030823,79.71829057,257.7074207,0,85.1963881,236.5820508,969.9748543,4308.812443,9752.022131,1596.36658,4943.570135,1234.188461,0,0,1821.252066,0,0,0,209.0696678,0,239.5167994,11044.81464,3809.642768,239.6101169,595.4289884,0,317.2151583,86.06654528,597.10226,0,0,355.5109177,320.2317493,74.39965067,0,0,0,0,0,133.6582136,0,0,161.8656745,3433.487426,270.2389864,107.5298819,0,0,0,0,0,0,87.96530122
DATA2,E215274.PMO,6,6889,145,G=1.6361,0,0,158.3451461,123.8451209,0,336.6023568,53.84501852,0,0,484.913717,0,622.9967801,265.0760332,0,4497.819878,0,2530.249924,0,0,0,328.9274263,0,440.9586314,1611.452708,84.38521656,795.4486871,2902.860911,1972.883658,7167.568721,70.03875922,62.85697642,3984.985913,935.8861048,0,0,1010.195847,1050.047931,144.7952663,1711.740687,312.2354828,558.6654987,77.45711292,235.8113239,0,0,230.5264224,927.1879474,2802.685282,6983.346808,943.3799062,3996.876183,707.9341234,0,0,1076.563609,0,0,0,151.7847727,0,114.9127534,6406.817371,3728.378461,0,381.393274,108.8605473,227.7418285,47.61327638,235.1045927,0,0,282.5619497,240.5338629,62.63098065,0,0,45.2704583,0,0,63.99610417,0,0,80.43774155,2098.988398,168.1426213,100.824691,0,0,0,0,0,0,94.02090778
DATA2,E215274.PMO,7,6890,152,G=1.5464,0,0,222.228273,86.90030467,0,347.5995958,0,0,0,565.5019232,0,584.8887312,240.4092054,0,4661.270636,0,2816.079907,0,0,0,351.308871,0,448.4248778,1770.59828,70.38780645,738.2604113,2976.732289,1863.302478,7633.728828,68.25846918,74.59791925,3910.373229,1104.623899,0,0,1141.889823,1253.408884,200.2687806,1707.061534,361.9344696,539.5944933,76.95773364,254.4648703,0,0,238.1074378,580.8695026,3121.411894,7112.060952,1254.572567,5297.856435,791.8036686,56.01341334,0,1481.544668,0,0,0,211.0426478,0,152.0922116,7591.953018,3944.645629,0,149.0796584,71.29054158,248.8811328,60.82509774,286.3619427,0,0,320.7515541,296.0013055,59.95110406,0,0,57.8188559,0,0,85.97238445,0,52.76355718,89.75495557,2803.293865,235.8748284,100.0694664,0,0,0,0,0,0,76.16308316
DATA2,E215274.PMO,8,6891,143,G=1.5635,0,0,205.7784653,74.78446379,0,273.8484082,0,0,0,534.1341192,0,493.6358755,242.0280309,0,5577.530267,0,2382.159934,0,0,0,291.6420335,0,439.0842005,1876.914011,61.86751708,624.8968275,2643.925932,1610.353872,8086.0628,66.63327702,0,3594.895142,647.3643173,236.6906264,0,1291.824057,1052.984731,210.4060231,2041.525968,420.4833771,442.4110443,91.27926546,306.1099422,0,0,235.4115866,562.4920705,3284.850293,7779.934643,828.7491227,4218.983108,1167.194053,0,0,1295.475607,0,0,0,147.0213362,0,144.5001973,6846.023783,3901.503038,0,0,0,226.4645109,46.16162466,324.2288883,0,0,341.3292882,313.0296325,43.61070742,0,0,46.04481025,0,0,89.23685908,0,0,99.19269598,2869.997898,166.5239422,119.1900954,0,0,0,0,0,0,93.61173696
DATA2,E215274.PMO,9,6892,149,G=1.5975,0,0,144.7773136,69.31354575,0,268.4265246,49.06772977,0,0,357.1870891,0,459.3491509,181.3594836,0,3596.966636,0,2144.08634,0,0,0,261.5651178,48.22092269,296.2181215,1195.139595,57.04733372,501.2606377,1743.450587,1033.401818,5129.656383,48.54074292,0,3233.474791,399.6057053,118.3912876,0,821.7448309,834.0148194,89.3370596,1264.722469,271.3244153,441.3373073,58.6163155,188.5526295,0,0,178.5836455,515.4668483,1589.400647,3842.601696,752.2645528,3426.062048,397.2644361,97.48013193,0,884.8951889,0,91.16850731,0,220.928538,79.60470114,102.8882659,4621.938131,3818.466354,0,0,0,183.5899402,72.15280972,289.3377241,0,0,226.6762334,338.0468214,73.24959722,0,0,64.65603712,0,0,71.95534154,0,0,70.35763463,2464.086541,240.1402019,70.3078195,0,0,0,0,0,0,55.30621266
DATA2,E215274.PMO,10,6893,137,G=1.5555,0,0,223.8238193,94.89116208,0,330.4899094,0,85.69134781,0,562.0127963,0,574.7917478,245.6671752,0,5115.426446,0,2466.016774,0,0,0,308.3711179,0,456.5362406,1671.259303,104.1104549,694.8976265,3640.128454,1860.448178,8533.303792,135.5082753,0,3869.294077,969.0156767,0,0,1261.315622,1016.96026,267.5588209,2112.245307,419.0548581,483.9163813,83.27651731,250.8273236,0,0,273.7992621,598.211451,3197.173187,8653.569512,787.9815672,3879.300128,1010.431112,0,0,1245.909732,0,0,0,226.2939455,0,158.9702975,6307.53673,3921.568627,0,0,51.40339836,234.621459,42.1404289,227.2872826,0,0,334.0058403,309.554597,51.45511891,0,0,76.41694259,0,0,71.95821298,0,59.73727678,74.87393396,2587.434193,139.1857798,105.226767,52.36628609,0,0,0,53.23213813,0,93.0032341
DATA2,E215274.PMO,11,6894,148,G=1.6681,0,39.98067385,171.6460524,73.80268528,0,173.199126,50.38419049,0,0,324.2659199,0,338.4901142,185.3930358,0,3248.81105,0,1919.943374,0,0,0,287.5518582,0,325.4561025,1229.679069,0,513.6902592,1515.358899,1145.585864,6618.532489,42.66911784,38.85985755,2852.80854,984.8218003,0,0,781.6143897,888.6021247,113.8258472,1245.935619,277.3517915,391.9459498,58.69633734,167.1002546,0,47.66442667,90.40074645,2298.570703,2701.401758,4646.644303,0,3878.101723,852.8372761,45.44982954,0,1225.182811,0,0,0,233.5205947,51.86926068,175.2283341,8301.89735,3656.855105,0,301.7613304,47.70607672,198.8313325,65.55377827,251.379144,0,0,231.2564397,248.0294259,39.1923959,0,0,70.88574349,0,0,115.1707482,466.4904029,0,139.9598815,0,205.694194,72.3372832,0,0,0,0,0,0,62.91798634
DATA2,E215274.PMO,12,6895,150,G=1.5762,0,0,103.8742038,66.42721256,0,201.341539,0,0,0,394.9054121,0,332.4318751,167.6040091,0,3493.493849,0,2113.160641,0,0,0,252.8586095,0,298.0529585,1315.754141,43.73324352,450.3233767,1583.425863,1173.179062,5899.370031,50.55653575,0,2559.044204,777.8751062,0,0,834.2340713,853.1233899,73.28461381,1142.035272,253.7446238,369.3141268,58.83326682,163.10503,0,0,64.68488914,353.2248499,2026.335524,4430.697678,771.2385363,3698.132082,615.8807212,0,0,1164.398636,0,0,0,129.5109416,0,149.7019497,6601.560622,3870.06725,0,0,0,197.2550284,56.70643244,229.5060745,0,0,276.4704144,230.8161395,37.60034569,0,0,0,0,0,97.60739659,0,0,105.2832812,0,228.8152359,74.09741198,0,0,0,0,0,0,54.9823782
DATA2,E215274.PMO,13,6896,153,G=1.5276,0,0,139.6551082,68.1440883,0,353.9382403,56.08302022,0,0,657.7424125,0,716.5940382,297.0434008,0,6257.137148,0,3422.678538,0,0,0,459.5554065,0,550.4031159,2123.207766,102.2719954,931.1687224,3012.814547,2058.206451,8809.557669,43.79658647,89.63009014,5010.39586,1557.476735,0,0,1432.139422,1364.967328,163.2784517,2109.643786,426.7029591,672.5559012,95.6005151,293.6082733,0,0,232.954147,665.0988909,3433.175239,8132.86252,0,4741.082582,1160.870617,83.92803308,0,2033.319712,0,0,0,266.5690707,102.2209312,287.6345077,10863.36417,3993.191935,198.8008477,232.2858076,60.19590432,251.6714417,74.9184132,399.6712377,0,0,371.5694581,375.9661061,62.70502723,0,0,54.58409803,0,0,105.6010013,0,0,174.5627886,3230.961704,264.823768,95.34813868,0,0,0,0,0,54.11807591,72.54596307
DATA2,E215274.PMO,14,6897,142,G=1.6035,0,0,135.3596003,77.92302367,0,323.4042637,53.37843643,0,0,554.5834195,0,566.1528088,234.4829456,0,5484.567921,0,2599.787101,0,0,0,283.6586381,0,450.5255135,1888.283718,92.02126903,670.1198754,2817.305415,1589.811068,7292.292111,51.56041782,0,4496.147065,963.4637614,0,0,1261.761722,1108.846559,191.9676024,2095.003305,342.5754925,624.7654097,57.52061346,257.4946686,0,0,222.9706328,513.5182106,2817.462302,7075.382127,873.560106,3570.202194,972.7121915,87.13566493,0,1304.002157,111.7992219,0,0,300.2540824,0,159.7788378,6263.90349,3804.17836,142.5382751,159.0288892,49.12445253,208.1328099,61.12122758,280.8223411,0,0,321.3706841,337.0767683,56.15780468,0,0,47.82544906,0,0,78.57202678,0,0,0,2586.280408,169.7409895,105.7572622,0,0,0,0,0,0,76.14875989
