Vol,Seq_Fname,Index,ID_Nbr,Site,LandUse,Plot,Elevation,Slope,Drought,Day,Treatment,ID_Only,Comment_Only,Other_FAME,AM_Fungi,Gram_neg,Total_Fungi,Gram_pos,Actino,Protozoa,Total_FAME
DATA2,E216095.CAT,83,7048,14,Reference,W14P1,Low,5m,Control,1,Reference-Control,2,G=1.5763,32717.95315,4824.575311,57987.0813,1266.165899,26070.2725,15630.29844,373.7251784,138870.0718
DATA2,E216095.CAT,82,7047,14,Reference,W14P1,Low,5m,Drought,1,Reference-Drought,3,G=1.5324,35403.4766,5050.531127,61597.27407,1578.109277,26471.10043,15489.24706,1001.042869,146590.7814
DATA2,E216095.CAT,59,7024,14,Reference,W14P2,Low,25m,Control,1,Reference-Control,15,G=1.6186,49821.46394,5844.668221,72517.02725,3725.24406,32075.26181,18321.81854,1290.669727,183596.1535
DATA2,E216095.CAT,56,7021,14,Reference,W14P2,Low,25m,Drought,1,Reference-Drought,16,G=1.5385,39378.53843,4869.964016,61475.58274,2862.179228,26446.13624,14675.4127,1013.237578,150721.0509
DATA2,E216095.CAT,61,7026,14,Reference,W14P3,Low,50m,Control,1,Reference-Control,28,G=1.5909,63872.47436,5527.269849,76390.16819,5122.101608,44510.94261,21934.36664,1441.279918,218798.6032
DATA2,E216095.CAT,55,7020,14,Reference,W14P3,Low,50m,Drought,1,Reference-Drought,29,G=1.6261,40448.79192,4121.470626,50793.34692,4126.398308,29717.87277,15054.19226,984.4845051,145246.5573
DATA2,E216095.CAT,29,6994,14,Reference,W14P4,High,50m,Control,1,Reference-Control,41,G=1.5693,31194.02773,4430.45651,49646.69683,3069.638739,24425.7445,13555.34047,582.1076572,126904.0124
DATA2,E216095.CAT,34,6999,14,Reference,W14P4,High,50m,Drought,1,Reference-Drought,42,G=1.5132,26812.87862,4187.478843,47124.07917,1710.071564,24136.05473,13017.24439,170.5394203,117158.3467
DATA2,E216095.CAT,45,7010,14,Reference,W14P5,High,25m,Control,1,Reference-Control,54,G=1.6080,49143.89542,6431.326392,58081.49012,4498.473066,31304.71311,16728.56985,1335.770719,167524.2387
DATA2,E216095.CAT,40,7005,14,Reference,W14P5,High,25m,Drought,1,Reference-Drought,55,G=1.5621,34335.63794,4729.271682,51696.37818,2742.617247,26380.42766,14915.15124,282.4811857,135081.9651
DATA2,E216095.CAT,7,6972,14,Reference,W14P6,High,5m,Control,1,Reference-Control,67,G=1.5700,28331.75764,4204.090651,49952.98524,2504.800786,24274.08145,13119.32646,479.4501423,122866.4924
DATA2,E216095.CAT,5,6970,14,Reference,W14P6,High,5m,Drought,1,Reference-Drought,68,G=1.5356,29881.02455,4423.317698,53002.20587,1594.187084,24673.99232,14284.74879,210.7267091,128070.203
DATA2,E216095.CAT,28,6993,6,Disturbed,W6P1,Low,5m,Control,1,Disturbed-Control,80,G=1.6127,33678.93524,5386.966063,59115.64493,1468.481471,26874.56559,16583.06098,492.183127,143599.8374
DATA2,E215274.CAT,71,6954,6,Disturbed,W6P1,Low,5m,Drought,1,Disturbed-Drought,81,G=1.5930,16568.10501,2299.612175,30282.37592,921.6512021,16039.82536,10001.13399,214.4158326,76327.11949
DATA2,E215274.CAT,63,6946,6,Disturbed,W6P2,Low,25m,Control,1,Disturbed-Control,93,G=1.6014,21458.5637,3242.635656,38588.00012,1587.888272,20405.2319,11819.17287,284.1085335,97385.60105
DATA2,E215274.CAT,57,6940,6,Disturbed,W6P2,Low,25m,Drought,1,Disturbed-Drought,94,G=1.5974,29541.77096,4856.89886,48144.28911,2269.209707,27536.71579,15367.50496,661.3096113,128377.699
DATA2,E215274.CAT,54,6937,6,Disturbed,W6P3,Low,50m,Control,1,Disturbed-Control,106,G=1.6294,32461.22898,4988.718034,40122.94822,1527.956697,21677.25528,11712.62217,667.6636335,113158.393
