Plot,WS,Pair,Use,pH,Moisture,NH4,NO3,DOC,TDN,DOC:TDN,DON,TC,TN,C:N,logAOA,logAOB,logCAOB,logAOAAOB,logTAOB,logAOM,AOA,AOB,CAOB
1,2,Cable Logged,Reference,5.26,0.26,0.92,0.069203575,485.926472,53.32011253,9.113380466,52.33090896,26.7,1.41,18.93617021,5.508055892,2.460674952,6.691680337,5.508445124,6.69170585,6.719265989,322148.3358,288.8517161,4916775.021
2,2,Cable Logged,Reference,5.08,0.25,1.13,0.037360648,357.4841677,35.45755984,10.0820296,34.29019919,24.37,1.33,18.32330827,4.578749485,NA,6.366448746,4.578749485,6.366448746,6.373472486,37909.6247,NA,2325138.062
3,2,Cable Logged,Reference,5.39,0.29,1.09,0.059881771,345.9334543,34.6622594,9.980118443,33.51237763,30.69,1.55,19.8,6.7932102,2.569149971,6.590856424,6.793236124,6.590897734,7.004759654,6211696.091,370.8087481,3898130.948
4,2,Cable Logged,Reference,5.53,0.27,1.33,0.05056796,303.7078836,36.29099342,8.368684761,34.91042546,31.33,1.73,18.10982659,6.856422754,3.208862421,6.800829928,6.856520517,6.80094104,7.130597274,7184933.521,1617.567531,6321642.436
5,2,Cable Logged,Reference,5.35,0.29,1.61,0.099277665,403.4808124,43.74206096,9.224092408,42.0327833,33.01,1.71,19.30409357,5.968484453,2.40459547,6.508845015,5.968602986,6.508879175,6.618842627,930003.2227,253.8606979,3227342.185
6,2,Cable Logged,Reference,5.18,0.29,1.14,0.056791982,338.0688502,33.9579692,9.955508476,32.76117722,36.81,1.9,19.37368421,5.640421726,NA,6.307630398,5.640421726,6.307630398,6.392269139,436939.9215,NA,2030628.131
7,7,Cable Logged,Disturbed,5.18,0.26,1,0.047053634,393.7625568,36.61963792,10.75277035,35.57258429,24.71,1.19,20.76470588,6.338605463,2.624814349,6.383614344,6.3386894,6.383690018,6.662762508,2180747.9,421.5162765,2418880.112
8,7,Cable Logged,Disturbed,5.4,0.22,1.79,0.043368691,249.3971598,27.3027256,9.13451512,25.46935691,23.2,1.33,17.44360902,5.852585138,5.103946112,6.842429817,5.923872744,6.85028878,6.891890727,712172.3995,127041.6459,6957125.174
9,7,Cable Logged,Disturbed,5.4,0.23,1.63,0.070563854,279.8600753,33.22250753,8.423809523,31.52194368,21.5,1.23,17.4796748,6.038914058,2.83645177,6.390732566,6.039186445,6.390853749,6.550629323,1093739.906,686.2016689,2458853.002
10,7,Cable Logged,Disturbed,5.51,0.25,2.16,0.071714275,237.1705759,31.13503754,7.61748161,28.90332327,28.09,1.9,14.78421053,5.26874648,2.892832596,6.361592068,5.2705702,6.361739622,6.395454731,185672.0276,781.3265749,2299281.093
