"","trt","taxa1","taxa2","rho","p.value","ab1","ab2"
"new.row","Reference","X15267f1f06baa4f926bead554d979492","X23fdf4be4e673395677ee65190c6ea17","0.339940378862186","0.104102562615801","60","175"
"new.row.1","Reference","X15267f1f06baa4f926bead554d979492","X39f85773af9d25895b93b0d15b06cb44","-0.0920695410132042","0.668739160011016","60","59"
"new.row.2","Reference","X15267f1f06baa4f926bead554d979492","X50c64d73b0dff610573e659c26d3d2f0","-0.267391304347826","0.206529103429251","60","65"
"new.row.3","Reference","X15267f1f06baa4f926bead554d979492","X802511e6d3a7b14d39e19de6e94d923f","0.0703613174564968","0.743892857361925","60","147"
"new.row.4","Reference","X15267f1f06baa4f926bead554d979492","X8b7057d889d0cdff9a4ea90d5826d89a","0.248502284903541","0.241639816232202","60","21"
"new.row.5","Reference","X15267f1f06baa4f926bead554d979492","b53f214bd590edb5db458ab51c85ab8c","-0.0730779706401453","0.734346158817679","60","83"
"new.row.6","Reference","X15267f1f06baa4f926bead554d979492","d093275fd99cef0566cb0d69545f1edd","-0.163093772926886","0.446382332389862","60","1026"
"new.row.7","Reference","X15267f1f06baa4f926bead554d979492","d9070a452fa357f462b07e41ab0d0b78","-0.202442520138864","0.342777805573808","60","713"
"new.row.8","Reference","X15267f1f06baa4f926bead554d979492","e71bf5751d8d23f8c83b8cb823163c94","-0.144797614688466","0.499635332911633","60","155"
"new.row.9","Reference","X15267f1f06baa4f926bead554d979492","X263728ce20319c13740eac569ce442a3","0.0633640702467264","0.76864823779524","60","77"
"new.row.10","Reference","X15267f1f06baa4f926bead554d979492","X378a113b53e89acd9bbba8a0e604be72","0.38412840112172","0.0638525628075944","60","683"
"new.row.11","Reference","X15267f1f06baa4f926bead554d979492","X3b1aa49c9d2da95dc31dcbed0d213e98","0.104251779651089","0.62782714408726","60","31"
"new.row.12","Reference","X15267f1f06baa4f926bead554d979492","X723f16e12869e91f3596e50f7edeee01","-0.0986763088961108","0.646428649310984","60","81"
"new.row.13","Reference","X15267f1f06baa4f926bead554d979492","b34bfeabb3eee801d1327fa599dc62dd","-0.072150419407909","0.737601491649814","60","57"
"new.row.14","Reference","X15267f1f06baa4f926bead554d979492","b7a5482c7191785711d021272ee87956","-0.0922121257327485","0.668254695251275","60","36"
"new.row.15","Reference","X15267f1f06baa4f926bead554d979492","b941d125fbe459ea53247a77310022d1","-0.0251800427581539","0.907026937177633","60","98"
"new.row.16","Reference","X15267f1f06baa4f926bead554d979492","b9bfac159f30623d1b4db12490716e20","-0.419666602779128","0.0411970522991876","60","30"
"new.row.17","Reference","X15267f1f06baa4f926bead554d979492","bf7433a784642452c9cc06e8649a9c82","0.0383966417205998","0.858622546374113","60","37"
"new.row.18","Reference","X15267f1f06baa4f926bead554d979492","d4e8be1da3bef309a346b58058e5ecbc","0.0745570572589491","0.729164351066645","60","42"
"new.row.19","Reference","X15267f1f06baa4f926bead554d979492","e7f614c31ad3389a09ee5b8fd5b24496","0.277654178363346","0.18897595795019","60","48"
"new.row.20","Reference","X15267f1f06baa4f926bead554d979492","f42553bb1a93e56af0d8e9a077ff3a31","0.2347763411098","0.269467766390722","60","191"
"new.row.21","Reference","X15267f1f06baa4f926bead554d979492","X2546e87f73ee7e654aae9377120d7466","-0.36781433234227","0.0770090361570001","60","96"
"new.row.22","Reference","X15267f1f06baa4f926bead554d979492","X4da6d3edcf722c11f7d6c1bf3118e17a","0.210181338245598","0.324243223264898","60","159"
"new.row.23","Reference","X15267f1f06baa4f926bead554d979492","X66945ae4ca72c5195f82e8a979518b43","0.228119677424804","0.283670377476755","60","38"
"new.row.24","Reference","X15267f1f06baa4f926bead554d979492","X8b1fcdd9acd57c81c2960873fa07acc7","0.119774440071673","0.577211986523015","60","41"
"new.row.25","Reference","X15267f1f06baa4f926bead554d979492","b5db273fb027096019dad0da50e0eb6a","-0.347958330061168","0.0956785039675016","60","51"
"new.row.26","Reference","X15267f1f06baa4f926bead554d979492","de059035279d147aaceb91a3832bd04f","-0.241914659885652","0.254750947651177","60","137"
"new.row.27","Reference","X15267f1f06baa4f926bead554d979492","X23e0a7fa1fc58082ddd47e33976ad7c7","0.133692036970306","0.533418225991238","60","38"
"new.row.28","Reference","X15267f1f06baa4f926bead554d979492","X77ef9fa42a44f0ff2c434b7213613f5a","0.103791044321158","0.629356190474627","60","316"
"new.row.29","Reference","X15267f1f06baa4f926bead554d979492","X02d30d756bdc2bef636557f8739cb345","-0.0636461051386995","0.767646000203624","60","173"
"new.row.30","Reference","X15267f1f06baa4f926bead554d979492","a0b41db4c12c221991d9a1b964e9c532","0.271950348197747","0.198600568534556","60","127"
"new.row.31","Reference","X15267f1f06baa4f926bead554d979492","X5b6f5fe19f90f0464f120d0b8314831d","0.0999782107781221","0.642066145324965","60","121"
"new.row.32","Reference","X15267f1f06baa4f926bead554d979492","X8c7b2024ebd20ba6ae4e4330080a58da","0.299399906793906","0.155229390974542","60","233"
"new.row.33","Reference","X15267f1f06baa4f926bead554d979492","X9af97e6fe25dc38ba9e5a47b579eab29","0.105473634886506","0.623779364017118","60","167"
