XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,Totalpersamp,totalfeatures,relabund,reabund*100,size
X,01407dff9187239ef65ae8514b77869f,0,0,0,0,109,44,53,69,43,0,0,29,38,14,42,0,58,0,0,15,0,21,113,40,688,1135022,0.000606156,0.060615565,4.06
X,0232c8f4f3f2b7268891c772901d4678,5,0,0,0,7,0,12,0,7,8,0,0,0,4,9,9,9,0,3,0,0,7,0,7,87,1135022,7.66505E-05,0.00766505,4.01
X,03d0864275ffa173ba848eb1d370daa6,12,13,0,0,22,0,12,0,27,21,0,0,18,0,0,0,30,38,30,0,33,0,36,15,307,1135022,0.000270479,0.027047934,4.03
X,0417932f92ef088ce95891d729697bbf,40,0,0,0,0,31,0,0,0,65,0,0,98,74,75,0,0,62,51,0,0,59,100,63,718,1135022,0.000632587,0.063258686,4.06
X,043ffb43eda2598aa536d3affb924a92,43,62,0,21,67,42,0,0,0,47,0,0,85,49,61,0,0,39,37,0,50,21,58,12,694,1135022,0.000611442,0.061144189,4.06
X,0549640f80afc02d3f5453c94f60a627,211,295,144,20,58,75,161,71,191,113,100,253,270,79,40,323,277,500,705,263,451,186,157,247,5190,1135022,0.004572599,0.457259859,4.46
X,063a8b0b4589fa1fdbeb2119ffe4faf5,0,0,19,20,0,0,0,0,26,0,0,0,48,0,0,0,0,42,71,30,13,19,32,33,353,1135022,0.000311007,0.031100719,4.03
X,0649da7b67156aed2b87a455e44c6a3c,39,0,0,0,37,78,31,0,54,155,0,60,98,50,144,0,0,46,0,0,0,41,246,40,1119,1135022,0.000985884,0.098588397,4.10
X,064b6ec110a2276ebc79fa679460bb9c,189,121,88,33,65,111,157,0,0,85,23,68,146,145,62,78,94,117,113,0,84,239,132,224,2374,1135022,0.002091589,0.209158941,4.21
X,065caf177c9bbca39283b882486de188,56,0,31,0,25,30,32,29,12,51,0,0,48,55,17,106,32,54,33,69,41,59,0,140,920,1135022,0.000810557,0.081055698,4.08
X,06e94b05336011353c109340bf138207,7,0,18,0,11,26,32,195,16,0,0,0,6,0,0,0,33,30,10,7,0,0,0,0,391,1135022,0.000344487,0.034448671,4.03
