,Treatment,Sample,15267f1f06baa4f926bead554d979492,23fdf4be4e673395677ee65190c6ea17,39f85773af9d25895b93b0d15b06cb44,50c64d73b0dff610573e659c26d3d2f0,802511e6d3a7b14d39e19de6e94d923f,8b7057d889d0cdff9a4ea90d5826d89a,b53f214bd590edb5db458ab51c85ab8c,d093275fd99cef0566cb0d69545f1edd,d9070a452fa357f462b07e41ab0d0b78,e71bf5751d8d23f8c83b8cb823163c94,263728ce20319c13740eac569ce442a3,378a113b53e89acd9bbba8a0e604be72,3b1aa49c9d2da95dc31dcbed0d213e98,723f16e12869e91f3596e50f7edeee01,b34bfeabb3eee801d1327fa599dc62dd,b7a5482c7191785711d021272ee87956,b941d125fbe459ea53247a77310022d1,b9bfac159f30623d1b4db12490716e20,bf7433a784642452c9cc06e8649a9c82,d4e8be1da3bef309a346b58058e5ecbc,e7f614c31ad3389a09ee5b8fd5b24496,f42553bb1a93e56af0d8e9a077ff3a31,2546e87f73ee7e654aae9377120d7466,4da6d3edcf722c11f7d6c1bf3118e17a,66945ae4ca72c5195f82e8a979518b43,8b1fcdd9acd57c81c2960873fa07acc7,b5db273fb027096019dad0da50e0eb6a,de059035279d147aaceb91a3832bd04f,23e0a7fa1fc58082ddd47e33976ad7c7,77ef9fa42a44f0ff2c434b7213613f5a,02d30d756bdc2bef636557f8739cb345,a0b41db4c12c221991d9a1b964e9c532,5b6f5fe19f90f0464f120d0b8314831d,8c7b2024ebd20ba6ae4e4330080a58da,9af97e6fe25dc38ba9e5a47b579eab29,1c98d4be0f258a0c13dc0c5ca72e392d,206812a187831b7a055c0ecfbf42fecf,45a07a39fafc2c6b9f8505ca7c4f36a5,6ecd9a063a59e75728b947c9dd08e516,c2bbecb72788dfac5258f79048143acb,ef03c72cbba847681429d4b9f1d0a7d1,39239d8a919bd2e038baf628fcb8d17b,4e2c801215cf206ccb1a0c5be1e4fd45,88b9b5ce30994c15273a16deafdd8c04,dd15c93c31f1d3142f0553354486035e,6ced55d82608cd08c5ce8db86bab90c5,ac78a742aa74105a18310f4a275e4b97,cc4f2e2e6f6159fcacbfcf8bda19f096,d7bc6cf5cb3426a32201976548d585e3,48fb4f8c7169e446fb5253f7c0cbdf58,69506f09f5095aa4d5b25e07c8fa5311,96184161ff816917e03d5b3f1cbb3cae,2cfda56691de5044be05da7da673367e,775fec4da6070b6a49e76c4f91f125bb,151567602b94de92f189c4bca4c0b757,abeda5d3ee7ffa0360ae1b0762fb785e,bd108e6225156377be34bce0910ba03c,89def94559ef54cd895fc916d249bcd4,9530fd73b85e82f5b83873dad2d153b0,99e80fb647ce348098a816eb94ee6053,a422ba6209a0df2fadae198c6bc4e119,c66b7425b2723f7b5ec2b11e01315e15,c759744a11557092492faaf15403d021
25,Reference,FD1,13,119,0,0,30,1,0,0,0,0,0,127,4,0,0,0,0,0,0,0,9,0,0,13,3,4,0,0,2,28,2,7,0,36,12,0,31,3,0,11,0,3,4,18,0,0,4,16,11,10,3,0,57,20,98,2,2,10,51,93,57,56,29
26,Reference,FD19,1,3,3,1,18,2,6,0,169,0,2,0,1,0,0,0,0,2,0,0,7,0,6,28,0,0,1,18,3,0,0,0,0,8,2,9,12,15,0,0,0,0,1,7,10,5,8,8,0,62,4,6,56,5,58,9,2,106,41,130,122,164,49
27,Reference,FD2,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,4,36,0,3,0,0,0,0,0,12,0,3,0,9,7,0,1,0,0,8,22,0,0,2,0,0,3,15,12,1,0,0,14,0,8,0,3,17,60,33,32,13,11
28,Reference,FD20,5,0,1,0,7,1,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,11,1,3,4,3,0,0,0,0,3,8,4,5,0,3,4,0,2,6,0,8,1,41,0,0,15,3,0,29,4,10,14,2,52,5,12,72,98,218,29,130,35
29,Reference,FD21,7,4,0,0,0,2,5,17,25,0,17,14,0,3,0,0,2,0,1,1,1,0,0,0,2,0,3,2,0,0,7,0,7,11,0,1,7,5,3,13,1,0,13,0,1,2,19,3,4,1,2,7,4,1,5,15,1,62,78,47,125,68,28
30,Reference,FD22,0,4,0,8,6,0,27,0,30,0,7,15,5,6,0,0,0,0,14,4,6,14,0,17,3,7,9,11,1,21,22,0,46,13,18,1,4,9,1,0,75,13,17,20,0,6,15,8,167,0,2,8,50,14,11,20,2,117,82,111,116,71,60
31,Reference,FD23,6,1,0,0,0,0,7,0,12,2,0,0,1,8,0,3,6,1,1,0,3,48,0,0,0,1,4,0,1,4,10,1,7,7,0,7,2,2,0,3,3,3,0,0,4,1,6,3,8,7,0,2,2,3,27,16,2,51,17,72,14,80,37
32,Reference,FD24,0,0,5,4,0,0,15,6,0,42,0,0,0,33,0,0,10,4,0,4,0,0,11,0,0,8,10,9,1,0,34,0,0,0,0,6,0,5,0,6,29,16,15,8,9,23,13,0,19,3,5,1,9,3,11,26,10,54,55,90,110,46,13
33,Reference,FD25,5,11,9,6,5,0,0,0,0,0,0,0,1,2,5,0,0,0,2,9,0,27,0,57,1,1,0,0,0,0,12,6,4,25,2,3,3,0,5,0,3,0,0,14,0,0,1,5,275,39,3,1,14,6,63,2,9,63,24,66,32,68,72
34,Reference,FD26,0,5,0,0,43,0,0,0,0,0,0,1,0,0,4,4,0,5,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,4,6,30,0,2,5,0,9,0,14,1,8,0,21,9,15,6,3,5,3,121,6,1,160,17,96,24,86,247
