,trt,taxa1,taxa2,rho,p.value,ab1,ab2
new.row.90541,Disturbed,fdb5cea9da6632a6eca6c002cd6397e4,X06f387f65f7da7bca26ef586a011265e,-0.803664294,2.25E-06,368,156
new.row.2083,Disturbed,X10d15bd789d2f850846c7042dc9759f2,X15013e76cab8983167cea844a3cd9c81,-0.7729927,9.51E-06,496,2354
new.row.78411,Disturbed,X2679b78111c7f345ce9f9de5fe81f244,X97a7fce8cdd13b1e08878a12b1ece4fd,-0.765726772,1.30E-05,754,1050
new.row.55203,Disturbed,f1de58e896111f37a5547e55c818bd8d,X91c031ca66abf3247ada2df127f78fec,-0.751758876,2.28E-05,287,671
new.row.2159,Disturbed,X10d15bd789d2f850846c7042dc9759f2,bd1c5a1d598935c732723e49a713dee1,-0.750008837,2.44E-05,496,26483
new.row.3517,Disturbed,X2cb0993c1835d5d8b3b677ad1993f84e,X43e7568ca9f141c79b1104cc520c679f,-0.742915067,3.21E-05,197,202
new.row.145105,Disturbed,X15013e76cab8983167cea844a3cd9c81,c63a29416a7eabd7ff67a49489118771,-0.742770185,3.22E-05,2354,7593
new.row.2167,Disturbed,X10d15bd789d2f850846c7042dc9759f2,d0855c29c251c2223fa348963b97b15c,-0.740785427,3.47E-05,496,8435
new.row.15107,Disturbed,X74d2af17686e6f39a9d3adaec853df05,dfc9562d868332327b6ed197e9847f12,-0.738694836,3.75E-05,279,243
new.row.7337,Disturbed,X3aca17ea1d41cc369fd7e2b3d124d312,f8b8173289056f3442317b4669562a60,-0.7385336,3.78E-05,173,832
new.row.78173,Disturbed,X1fcc495884d62a95ed5843382ab3c319,d3843642fb3c77ed98e31a35fa918c92,-0.737077873,3.98E-05,324,9051
new.row.79666,Disturbed,X29a75f5a9161809f23325fc518c26c91,X7c5e43b67baf767b7e3dbfc961596180,-0.736265945,4.10E-05,437,6581
new.row.58800,Disturbed,X2b2bf61846ac2d5d20ebe60d9ac3ba21,cdd87a757a31b5e305eef57fd7f4d845,-0.733731382,4.50E-05,193,1765
new.row.51696,Disturbed,c6b2ed25f50d20771b88647f12d5c837,X95b7ca5420d297cd6aa607b4d70451ee,-0.732283257,4.74E-05,404,892
new.row.42750,Disturbed,X56118cf5e72a74e430e0bb9806212e0f,X9e68814ff5c7be0da458d282eb1bdb90,-0.72726337,5.67E-05,465,2887
