,trt,taxa1,taxa2,rho,p.value,ab1,ab2
new.row.1187,Disturbed,X74a85889f6bd5ae0636a78673389c1b2,c2bbecb72788dfac5258f79048143acb,-0.765305404,1.32E-05,331,414
new.row.1329,Disturbed,X02d30d756bdc2bef636557f8739cb345,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.733589046,4.52E-05,141,140
new.row.957,Disturbed,X2cfda56691de5044be05da7da673367e,X8d06843d07e08fcf50f0e341536194ec,-0.73270049,4.67E-05,151,247
new.row.1753,Disturbed,acdcb676de60d3a4b3487f4b5ea30875,X151567602b94de92f189c4bca4c0b757,-0.721709005,6.87E-05,51,435
new.row.1663,Disturbed,c2bbecb72788dfac5258f79048143acb,ecb906a5ee9a43727f79ea2693ab66c1,-0.7215017,6.92E-05,414,477
new.row.2030,Disturbed,ecb906a5ee9a43727f79ea2693ab66c1,c759744a11557092492faaf15403d021,-0.697446909,0.000151838,477,806
new.row.1958,Disturbed,X151567602b94de92f189c4bca4c0b757,X42a6da50b44eb4e7aba542a1b77d6340,-0.689748442,0.00019223,435,170
new.row.1157,Disturbed,X404af41259937b69ef73591f7e4b1f63,X6ced55d82608cd08c5ce8db86bab90c5,-0.688976182,0.000196756,70,185
new.row.170,Disturbed,X127567750c167e181f4ddb04a282940c,b5db273fb027096019dad0da50e0eb6a,-0.688790371,0.000197859,56,66
new.row.969,Disturbed,X2cfda56691de5044be05da7da673367e,X79bc438de01f105ab25e7b6a1c1c653b,-0.687547846,0.000205373,151,272
new.row.1519,Disturbed,X7f12e9ddd93142da02395f116fa457d4,X775fec4da6070b6a49e76c4f91f125bb,-0.687354055,0.000206567,766,84
new.row.2001,Disturbed,cc4f2e2e6f6159fcacbfcf8bda19f096,ecb906a5ee9a43727f79ea2693ab66c1,-0.683070049,0.000234556,140,477
new.row.175,Disturbed,X127567750c167e181f4ddb04a282940c,ecb906a5ee9a43727f79ea2693ab66c1,-0.663424467,0.000409469,56,477
new.row.1025,Disturbed,X45224fcb69901f8af61b15e252de663f,c759744a11557092492faaf15403d021,-0.66276639,0.000416895,263,806
new.row.1166,Disturbed,X404af41259937b69ef73591f7e4b1f63,c759744a11557092492faaf15403d021,-0.662748132,0.000417102,70,806
new.row.966,Disturbed,X2cfda56691de5044be05da7da673367e,ecb906a5ee9a43727f79ea2693ab66c1,-0.662402019,0.000421056,151,477
new.row.1714,Disturbed,X23f99af777e3bbff0a08e322326b4d66,c66b7425b2723f7b5ec2b11e01315e15,-0.653302881,0.000537331,359,2298
new.row.132,Disturbed,X127567750c167e181f4ddb04a282940c,X45d117e2b1218f9101614d5691ceb8c4,-0.651820048,0.000558695,56,144
new.row.937,Disturbed,X2cfda56691de5044be05da7da673367e,X79407a13f732ca6abe383152dc00e65c,-0.649068323,0.000600291,151,272
new.row.297,Disturbed,X45d117e2b1218f9101614d5691ceb8c4,X151567602b94de92f189c4bca4c0b757,-0.647896007,0.000618809,144,435
new.row.1696,Disturbed,X23f99af777e3bbff0a08e322326b4d66,X6ced55d82608cd08c5ce8db86bab90c5,-0.638139085,0.000793033,359,185
new.row.299,Disturbed,X45d117e2b1218f9101614d5691ceb8c4,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.634203327,0.00087443,144,140
new.row.915,Disturbed,X263728ce20319c13740eac569ce442a3,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.632274105,0.000916888,58,140
new.row.2096,Disturbed,X4c1d45864ee084bc3860ae3b0f771fd0,c759744a11557092492faaf15403d021,-0.631869764,0.000926007,172,806
new.row.1960,Disturbed,X151567602b94de92f189c4bca4c0b757,ecb906a5ee9a43727f79ea2693ab66c1,-0.630968381,0.000946619,435,477
new.row.939,Disturbed,X2cfda56691de5044be05da7da673367e,X404af41259937b69ef73591f7e4b1f63,-0.627137456,0.001038683,151,70
new.row.1692,Disturbed,X23f99af777e3bbff0a08e322326b4d66,X151567602b94de92f189c4bca4c0b757,-0.626234797,0.001061461,359,435
new.row.862,Disturbed,X19d2bddb9923c5a41165740de2a6d1b8,X151567602b94de92f189c4bca4c0b757,-0.622308304,0.001165608,64,435
new.row.609,Disturbed,d093275fd99cef0566cb0d69545f1edd,X99e80fb647ce348098a816eb94ee6053,-0.621825658,0.001178995,502,963
new.row.1062,Disturbed,X79407a13f732ca6abe383152dc00e65c,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.619905088,0.00123358,272,140
new.row.592,Disturbed,d093275fd99cef0566cb0d69545f1edd,X151567602b94de92f189c4bca4c0b757,-0.618961014,0.001261197,502,435
new.row.961,Disturbed,X2cfda56691de5044be05da7da673367e,b5db273fb027096019dad0da50e0eb6a,-0.615946558,0.001352954,151,66
new.row.1041,Disturbed,X79407a13f732ca6abe383152dc00e65c,X1c98d4be0f258a0c13dc0c5ca72e392d,-0.610853175,0.001520994,272,122
new.row.1535,Disturbed,X7f12e9ddd93142da02395f116fa457d4,c759744a11557092492faaf15403d021,-0.608785627,0.001594129,766,806
new.row.146,Disturbed,X127567750c167e181f4ddb04a282940c,X79407a13f732ca6abe383152dc00e65c,-0.606920209,0.001662672,56,272
new.row.1880,Disturbed,de059035279d147aaceb91a3832bd04f,X99e80fb647ce348098a816eb94ee6053,-0.606339482,0.001684518,181,963
new.row.1524,Disturbed,X7f12e9ddd93142da02395f116fa457d4,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.604552407,0.001753288,766,140
new.row.802,Disturbed,X079f734a0dcea07965ad40a7cf27c2fe,acdcb676de60d3a4b3487f4b5ea30875,-0.602068109,0.001852861,161,51
new.row.1547,Disturbed,X968a62808d33f7a202a1ad953ded5486,c2bbecb72788dfac5258f79048143acb,-0.601829841,0.001862659,259,414
new.row.948,Disturbed,X2cfda56691de5044be05da7da673367e,X7f12e9ddd93142da02395f116fa457d4,-0.600752631,0.001907512,151,766
new.row.1155,Disturbed,X404af41259937b69ef73591f7e4b1f63,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.59991791,0.001942897,70,140
new.row.950,Disturbed,X2cfda56691de5044be05da7da673367e,X9b90efe9d3d22c395f3d4d5994cc42d5,-0.594339165,0.002194072,151,78
new.row.2172,Disturbed,c759744a11557092492faaf15403d021,abeda5d3ee7ffa0360ae1b0762fb785e,-0.592850915,0.002265567,806,527
new.row.684,Disturbed,de1aa39434d2b589804169d007387c6a,X1c98d4be0f258a0c13dc0c5ca72e392d,-0.591942909,0.002310153,202,122
new.row.1073,Disturbed,X79407a13f732ca6abe383152dc00e65c,c759744a11557092492faaf15403d021,-0.591383337,0.002337999,272,806
new.row.970,Disturbed,X2cfda56691de5044be05da7da673367e,X4c1d45864ee084bc3860ae3b0f771fd0,-0.588116466,0.002506335,151,172
new.row.137,Disturbed,X127567750c167e181f4ddb04a282940c,d093275fd99cef0566cb0d69545f1edd,-0.586956608,0.002568525,56,502
new.row.157,Disturbed,X127567750c167e181f4ddb04a282940c,X7f12e9ddd93142da02395f116fa457d4,-0.585070115,0.002672474,56,766
new.row.168,Disturbed,X127567750c167e181f4ddb04a282940c,de059035279d147aaceb91a3832bd04f,-0.580862259,0.002917261,56,181
new.row.1725,Disturbed,X7f78ab9925bf462c0d4ae290254e2a7c,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.580408328,0.002944768,145,140
new.row.834,Disturbed,X19d2bddb9923c5a41165740de2a6d1b8,X2cfda56691de5044be05da7da673367e,-0.577938969,0.003098285,64,151
new.row.197,Disturbed,X2bb9db8f03ae5572d51354513f97905f,X8e920fbbf8aa7b7f6bb6e0d520835457,-0.574578202,0.003318066,39,27
new.row.1770,Disturbed,acdcb676de60d3a4b3487f4b5ea30875,X99e80fb647ce348098a816eb94ee6053,-0.57343285,0.003395917,51,963
new.row.564,Disturbed,d093275fd99cef0566cb0d69545f1edd,X2cfda56691de5044be05da7da673367e,-0.568943666,0.003716114,502,151
new.row.594,Disturbed,d093275fd99cef0566cb0d69545f1edd,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.566701445,0.003885356,502,140
new.row.281,Disturbed,X45d117e2b1218f9101614d5691ceb8c4,X7b3d6324914818f0c185a4c0d6bad9d7,-0.563173192,0.004164812,144,42
new.row.1694,Disturbed,X23f99af777e3bbff0a08e322326b4d66,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.562865948,0.004189929,359,140
new.row.162,Disturbed,X127567750c167e181f4ddb04a282940c,X23f99af777e3bbff0a08e322326b4d66,-0.560844303,0.0043584,56,359
new.row.1371,Disturbed,X1c98d4be0f258a0c13dc0c5ca72e392d,ecb906a5ee9a43727f79ea2693ab66c1,-0.560103051,0.004421582,122,477
new.row.266,Disturbed,X45d117e2b1218f9101614d5691ceb8c4,X079f734a0dcea07965ad40a7cf27c2fe,-0.55998607,0.004431624,144,161
new.row.1914,Disturbed,b5db273fb027096019dad0da50e0eb6a,cc4f2e2e6f6159fcacbfcf8bda19f096,-0.555120249,0.004866637,66,140
new.row.800,Disturbed,X079f734a0dcea07965ad40a7cf27c2fe,X23f99af777e3bbff0a08e322326b4d66,-0.554389777,0.004934939,161,359
