,trt,taxa1,taxa2,rho,p.value,ab1,ab2
new.row.100737,Reference,X15013e76cab8983167cea844a3cd9c81,X7c5e43b67baf767b7e3dbfc961596180,0.906283996,1.09E-09,4098,14061
new.row.82460,Reference,X7079566bd1959d62ea1c7923159b7a3d,X21b726d9e46d31c3340e0ded2ce93cda,0.885535506,8.89E-09,813,2097
new.row.83218,Reference,c8ba9d52fde7e9fe713fb5eeb77b5e7b,c63a29416a7eabd7ff67a49489118771,0.88245614,1.17E-08,979,2254
new.row.82427,Reference,X7079566bd1959d62ea1c7923159b7a3d,ade04fd51fe2a7ea6a5de7be6c690573,0.881229609,1.31E-08,813,992
new.row.83430,Reference,ade04fd51fe2a7ea6a5de7be6c690573,X21b726d9e46d31c3340e0ded2ce93cda,0.879110571,1.57E-08,992,2097
new.row.89328,Reference,X21b726d9e46d31c3340e0ded2ce93cda,e4ee05bbf4ea42bb7404e560a5998628,0.867104454,4.20E-08,2097,5573
new.row.76517,Reference,d189d41c4186447b57a13b5e5b639bc5,X3852523902b72b40a7621775d8aa9435,0.866026285,4.57E-08,1585,1323
new.row.72822,Reference,X891dc7c4bc5fbd51e97b9a0c110c6220,X4821dee57a629564493ff191d3cbf9b4,0.862922994,5.79E-08,688,1797
new.row.85849,Reference,c63a29416a7eabd7ff67a49489118771,X16279d63c18f0ce497fac24287ac9ed8,0.862395847,6.02E-08,2254,1138
new.row.47965,Reference,X1ef2e6295de68016efd5fe1df177243c,X1c291466057260266d13db2efa0a99d7,0.861755707,6.32E-08,554,30606
new.row.67245,Reference,ec08af952b506ed3b32fd412bd8633c4,X6353e8e4d6f3a1c8050935f433252dec,0.861240807,6.57E-08,517,1395
new.row.91983,Reference,a1087281564dff44783f3b0247bb3dfa,X157a7c6518a3b3e70daf62add4531002,0.85876003,7.88E-08,1549,26459
new.row.85186,Reference,X4821dee57a629564493ff191d3cbf9b4,X5461cbec86382de4f99ac81bfd6293cb,0.858523469,8.02E-08,1797,2856
new.row.91554,Reference,X467b1e4e70e3189aa1c29dd5d1426ec4,X284c506d6a39ac0fd6464da973bcd0c0,0.855775451,9.78E-08,1416,7208
new.row.98263,Reference,X5461cbec86382de4f99ac81bfd6293cb,X2e1ad4de8caa2af94cb2ae810b2ed9ce,0.854782609,2.27E-06,2856,24966
new.row.59289,Reference,X84bcf042e3a9faf5a79ebeb6b4cc2284,X9068cc249fa74993dc04bcabb5b5412e,0.854666242,1.06E-07,242,869
new.row.69752,Reference,X2cc455e2e9e3471d84049387c933e5ae,X48e665141691a28bc90fb9f37cbc09c2,0.848433865,1.63E-07,1314,4541
new.row.74641,Reference,X16dedc79dc6331305afc61a06e0a39e9,X45d4963bdf8ca919a6dc6bd7d3e1696c,0.848149012,1.66E-07,1048,9368
new.row.85909,Reference,c63a29416a7eabd7ff67a49489118771,c156fd0f1861c5cbd451a01529215a91,0.846917096,1.80E-07,2254,2905
new.row.83390,Reference,c8ba9d52fde7e9fe713fb5eeb77b5e7b,X2e1ad4de8caa2af94cb2ae810b2ed9ce,0.845422908,1.99E-07,979,24966
new.row.91527,Reference,X467b1e4e70e3189aa1c29dd5d1426ec4,X817c612f28169a4e2386b13f2b8f3305,0.842565047,2.40E-07,1416,1491
new.row.12085,Reference,dca9533da4b01b47ac33136f4a2134fc,d7afea49f4db0874e17c76039e523806,0.842272957,2.45E-07,301,1434
