,trt,taxa1,taxa2,rho,p.value,ab1,ab2
new.row.1081,Reference,e7f614c31ad3389a09ee5b8fd5b24496,X2cfda56691de5044be05da7da673367e,0.515169295,0.009988459,48,419
new.row.1873,Reference,X48fb4f8c7169e446fb5253f7c0cbdf58,c66b7425b2723f7b5ec2b11e01315e15,0.517736548,0.009561505,197,1808
new.row.1844,Reference,cc4f2e2e6f6159fcacbfcf8bda19f096,X99e80fb647ce348098a816eb94ee6053,0.519011099,0.00935522,175,1742
new.row.1843,Reference,cc4f2e2e6f6159fcacbfcf8bda19f096,X9530fd73b85e82f5b83873dad2d153b0,0.519565021,0.009266725,175,1457
new.row.746,Reference,X723f16e12869e91f3596e50f7edeee01,X5b6f5fe19f90f0464f120d0b8314831d,0.519767564,0.00923454,81,121
new.row.1665,Reference,X6ecd9a063a59e75728b947c9dd08e516,X96184161ff816917e03d5b3f1cbb3cae,0.521030689,0.00903591,35,120
new.row.277,Reference,X802511e6d3a7b14d39e19de6e94d923f,ef03c72cbba847681429d4b9f1d0a7d1,-0.521675978,0.008935813,147,317
new.row.661,Reference,X378a113b53e89acd9bbba8a0e604be72,ac78a742aa74105a18310f4a275e4b97,0.52240122,0.008824412,683,157
new.row.1755,Reference,X4e2c801215cf206ccb1a0c5be1e4fd45,abeda5d3ee7ffa0360ae1b0762fb785e,0.523990574,0.008584306,149,329
new.row.1350,Reference,de059035279d147aaceb91a3832bd04f,abeda5d3ee7ffa0360ae1b0762fb785e,0.524523791,0.008504978,137,329
new.row.93,Reference,X23fdf4be4e673395677ee65190c6ea17,X8c7b2024ebd20ba6ae4e4330080a58da,0.524957877,0.008440848,175,233
new.row.958,Reference,b9bfac159f30623d1b4db12490716e20,X9530fd73b85e82f5b83873dad2d153b0,-0.526524095,0.008212792,30,1457
new.row.1479,Reference,a0b41db4c12c221991d9a1b964e9c532,X151567602b94de92f189c4bca4c0b757,0.526609559,0.008200497,127,829
new.row.1396,Reference,X77ef9fa42a44f0ff2c434b7213613f5a,X9af97e6fe25dc38ba9e5a47b579eab29,0.529283827,0.007823414,316,167
new.row.1685,Reference,c2bbecb72788dfac5258f79048143acb,d7bc6cf5cb3426a32201976548d585e3,-0.529604448,0.00777919,159,823
new.row.1528,Reference,X8c7b2024ebd20ba6ae4e4330080a58da,dd15c93c31f1d3142f0553354486035e,-0.530756972,0.007621933,233,78
new.row.186,Reference,X50c64d73b0dff610573e659c26d3d2f0,d093275fd99cef0566cb0d69545f1edd,0.535142962,0.007047474,65,1026
