XXX,Sample,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD31,FD32,FD33,FD34,FD35,FD36,FD43,FD44,FD45,FD46,FD47,FD48,FD7,FD8,FD9,totalsinsample,total all samples,relabund,scale,size
X,02d30d756bdc2bef636557f8739cb345,5,6,0,7,5,8,0,4,7,0,0,0,0,0,7,57,0,8,1,12,14,0,0,0,141,24576,0.005737305,0.573730469,4.573730469
X,02e76ab8b4fd284faa0cd4d802404311,1,3,0,0,10,0,0,0,0,1,2,2,0,1,4,0,2,0,0,1,0,0,1,0,28,24576,0.001139323,0.113932292,4.113932292
X,042edb3d0be49839295037c338edca0e,0,0,18,0,49,157,5,0,184,0,0,0,0,0,0,5,27,0,7,10,0,0,2,0,464,24576,0.018880208,1.888020833,5.888020833
X,079f734a0dcea07965ad40a7cf27c2fe,2,0,0,67,0,3,0,10,2,6,0,0,5,7,29,0,0,0,0,0,0,4,26,0,161,24576,0.006551107,0.655110677,4.655110677
X,0e146870dbb7731ae44369c598471dff,0,30,2,0,5,4,71,0,3,0,0,0,0,0,0,0,11,0,0,0,1,0,3,1,131,24576,0.005330404,0.533040365,4.533040365
X,127567750c167e181f4ddb04a282940c,0,0,1,3,0,0,0,0,0,11,3,4,18,3,4,0,0,0,0,0,0,1,8,0,56,24576,0.002278646,0.227864583,4.227864583
X,151567602b94de92f189c4bca4c0b757,30,12,13,65,0,5,4,27,5,24,2,10,7,24,20,0,0,0,0,0,0,79,66,42,435,24576,0.017700195,1.770019531,5.770019531
X,19d2bddb9923c5a41165740de2a6d1b8,0,0,7,0,0,3,1,0,2,0,1,0,0,1,0,8,7,2,10,22,0,0,0,0,64,24576,0.002604167,0.260416667,4.260416667
X,1c98d4be0f258a0c13dc0c5ca72e392d,1,2,0,3,0,0,0,0,0,33,2,17,49,1,3,0,0,0,5,1,1,0,4,0,122,24576,0.004964193,0.496419271,4.496419271
X,23f99af777e3bbff0a08e322326b4d66,2,8,0,0,0,15,11,2,0,0,186,0,1,0,0,58,11,35,13,3,12,0,0,2,359,24576,0.014607747,1.46077474,5.46077474
X,263728ce20319c13740eac569ce442a3,2,0,0,0,9,0,7,0,1,0,0,0,0,0,1,7,2,7,3,13,0,0,6,0,58,24576,0.002360026,0.236002604,4.236002604
X,29ed79d20b80538a53d7fbe413a9d7e4,0,1,5,10,16,12,1,6,5,0,2,0,5,0,2,0,0,0,0,0,0,0,9,2,76,24576,0.003092448,0.309244792,4.309244792
X,2bb9db8f03ae5572d51354513f97905f,3,2,2,0,7,1,1,17,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39,24576,0.001586914,0.158691406,4.158691406
X,2cfda56691de5044be05da7da673367e,13,0,0,6,5,0,0,0,0,4,16,39,4,2,0,0,0,0,0,0,0,34,4,24,151,24576,0.006144206,0.614420573,4.614420573
X,39239d8a919bd2e038baf628fcb8d17b,16,9,8,1,1,3,8,0,1,2,16,10,1,8,3,10,25,5,3,14,14,0,5,0,163,24576,0.006632487,0.663248698,4.663248698
X,3e4e731c28298ad0564acc337bc0a151,2,3,2,5,1,2,2,5,11,2,0,6,0,0,0,15,15,2,0,30,0,0,0,0,103,24576,0.004191081,0.419108073,4.419108073
X,404af41259937b69ef73591f7e4b1f63,0,0,2,0,1,5,12,4,5,0,1,0,0,0,12,15,0,4,4,0,5,0,0,0,70,24576,0.002848307,0.284830729,4.284830729
X,42a6da50b44eb4e7aba542a1b77d6340,4,3,2,0,2,14,5,0,13,0,27,4,0,0,5,15,22,8,4,39,2,0,1,0,170,24576,0.006917318,0.691731771,4.691731771
X,45224fcb69901f8af61b15e252de663f,0,20,89,4,9,67,10,4,22,0,0,0,0,0,0,0,0,0,16,16,6,0,0,0,263,24576,0.010701497,1.07014974,5.07014974
X,45a07a39fafc2c6b9f8505ca7c4f36a5,2,1,6,3,2,11,11,16,9,11,3,61,0,22,29,13,4,0,12,25,9,25,33,48,356,24576,0.014485677,1.448567708,5.448567708
X,45d117e2b1218f9101614d5691ceb8c4,4,2,0,0,5,0,25,0,2,0,0,0,0,0,0,76,9,10,6,0,5,0,0,0,144,24576,0.005859375,0.5859375,4.5859375
X,4c1d45864ee084bc3860ae3b0f771fd0,0,4,34,8,11,19,17,3,11,1,0,2,4,0,5,6,2,1,11,29,2,0,2,0,172,24576,0.006998698,0.699869792,4.699869792
X,4e2c801215cf206ccb1a0c5be1e4fd45,13,2,7,7,6,10,9,0,25,5,4,6,1,3,0,13,2,0,5,14,4,0,3,0,139,24576,0.005655924,0.565592448,4.565592448
X,5f65ebc679e7e132ae1086088df07896,0,0,4,0,1,2,18,0,1,4,0,0,0,0,8,5,3,3,7,0,1,0,16,0,73,24576,0.002970378,0.29703776,4.29703776
X,69506f09f5095aa4d5b25e07c8fa5311,5,1,2,0,0,0,7,15,3,1,2,2,5,2,3,11,1,0,0,1,3,1,4,1,70,24576,0.002848307,0.284830729,4.284830729
X,6ced55d82608cd08c5ce8db86bab90c5,4,3,8,10,32,0,0,0,3,4,5,37,3,5,3,0,5,0,0,6,1,30,14,12,185,24576,0.007527669,0.752766927,4.752766927
X,723f16e12869e91f3596e50f7edeee01,0,0,13,3,17,7,6,15,11,20,1,6,1,3,0,27,30,0,9,32,0,0,6,3,210,24576,0.008544922,0.854492188,4.854492188
X,74a85889f6bd5ae0636a78673389c1b2,9,0,31,17,67,72,57,0,34,0,0,0,0,0,0,20,16,2,1,0,5,0,0,0,331,24576,0.013468424,1.346842448,5.346842448
X,775fec4da6070b6a49e76c4f91f125bb,7,0,7,6,0,0,1,0,0,7,3,4,12,0,0,7,0,2,2,2,3,13,6,2,84,24576,0.003417969,0.341796875,4.341796875
X,79407a13f732ca6abe383152dc00e65c,0,0,3,0,2,7,1,176,10,0,0,0,0,0,0,5,53,2,2,11,0,0,0,0,272,24576,0.011067708,1.106770833,5.106770833
X,79bc438de01f105ab25e7b6a1c1c653b,7,4,29,4,0,6,20,12,64,0,5,0,0,0,28,14,14,3,18,28,6,0,8,2,272,24576,0.011067708,1.106770833,5.106770833
X,7b3d6324914818f0c185a4c0d6bad9d7,0,0,6,1,0,6,0,6,7,1,0,0,0,5,2,0,0,0,0,2,1,3,1,1,42,24576,0.001708984,0.170898438,4.170898438
X,7f12e9ddd93142da02395f116fa457d4,4,144,0,0,85,60,239,18,55,0,0,0,0,0,102,8,38,6,1,6,0,0,0,0,766,24576,0.03116862,3.116861979,7.116861979
X,7f78ab9925bf462c0d4ae290254e2a7c,1,0,1,3,8,8,0,67,31,1,0,0,0,0,1,11,7,1,1,4,0,0,0,0,145,24576,0.005900065,0.59000651,4.59000651
X,88b9b5ce30994c15273a16deafdd8c04,11,0,4,8,0,0,0,8,0,16,3,7,17,0,2,0,0,0,1,0,0,0,11,12,100,24576,0.00406901,0.406901042,4.406901042
X,89def94559ef54cd895fc916d249bcd4,164,32,60,116,83,44,47,34,50,86,31,92,71,82,69,53,51,55,40,67,27,25,130,37,1546,24576,0.062906901,6.290690104,10.2906901
X,8c2e3970d13c36a35b5986379ab704da,243,0,85,0,0,0,209,0,0,0,0,596,475,593,598,0,4,0,0,0,42,0,704,0,3549,24576,0.14440918,14.44091797,18.44091797
X,8d06843d07e08fcf50f0e341536194ec,0,10,22,3,0,17,4,43,44,2,0,0,7,0,21,5,30,0,3,34,2,0,0,0,247,24576,0.010050456,1.005045573,5.005045573
