XXX,Sample,FD1,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD37,FD38,FD39,FD4,FD40,FD41,FD42,FD5,FD6,Totalpersample,totalallsample,relabund,relabundtimes100,size
,a0c8af6597e7dd187eca57efcec2d6cb,4,6,0,7,7,4,0,0,0,0,0,0,0,5,0,0,0,4,0,0,5,0,6,4,52,1131861,4.5942E-05,0.004594204,4.00
X,0232c8f4f3f2b7268891c772901d4678,2,0,0,9,9,0,0,0,0,0,0,5,0,4,0,7,13,0,0,4,0,6,6,0,65,1131861,5.74275E-05,0.005742755,4.01
X,11edf19ca293df3beddc0d9dd8448ccb,0,0,0,0,9,0,5,17,0,3,0,10,0,7,0,0,0,6,0,18,0,10,2,0,87,1131861,7.68646E-05,0.007686456,4.01
,f1f62fe97b660b307a957c182e19cfde,10,0,0,0,0,7,29,4,3,4,0,0,0,0,0,0,4,0,0,11,0,0,14,9,95,1131861,8.39326E-05,0.008393257,4.01
X,299814070bba81d19d3849f89ac65603,0,0,0,0,0,14,0,13,0,0,0,6,6,5,12,0,10,5,0,0,13,12,0,8,104,1131861,9.18841E-05,0.009188407,4.01
X,2feb2e2e13c01276adfb91ac274c8893,0,11,13,0,13,0,8,0,6,17,0,11,0,0,0,0,14,0,0,0,14,0,0,4,111,1131861,9.80686E-05,0.009806858,4.01
X,433c1fba6eff1395051c91936c2a53a4,3,21,0,0,10,8,13,0,0,0,12,0,0,8,7,0,0,10,0,0,9,0,8,9,118,1131861,0.000104253,0.010425308,4.01
,e6c5859ce155e9ccb36c66453abaef3a,18,13,9,0,0,6,16,0,7,0,7,4,0,0,0,0,18,0,0,10,0,0,13,0,121,1131861,0.000106904,0.010690359,4.01
X,19c14775b20f5cac9f0743f35ac51c6f,0,0,0,0,0,0,0,20,0,0,0,4,0,16,9,16,0,12,10,16,0,13,0,14,130,1131861,0.000114855,0.011485509,4.01
X,914d40cd922f6a7fbaa7b816f464c1b3,9,0,0,0,0,0,0,0,15,0,16,7,0,6,12,31,0,0,11,0,15,0,0,8,130,1131861,0.000114855,0.011485509,4.01
X,5ed5903550fad5bedea65103fd8bcc02,17,11,0,0,17,3,26,0,0,0,0,0,0,10,0,10,0,0,15,0,0,0,8,17,134,1131861,0.000118389,0.01183891,4.01
X,6b1937bd02bf7a3b979ae467217cfda5,20,4,0,0,0,18,16,11,0,5,8,11,15,0,0,0,0,0,3,14,0,0,9,0,134,1131861,0.000118389,0.01183891,4.01
X,60fbff7fe7b0fa4520f9b0a694f5c88b,8,6,0,0,0,0,0,10,8,0,12,8,0,29,0,0,0,0,15,0,4,0,25,20,145,1131861,0.000128108,0.01281076,4.01
,f2d82ad0b0d90bf76ec713686155d270,0,13,0,0,16,0,0,10,0,0,9,0,0,0,0,0,22,11,0,0,20,18,12,14,145,1131861,0.000128108,0.01281076,4.01
,defd1d344a150108a15a0a91f3712313,0,0,0,5,25,11,0,0,9,6,15,0,0,16,0,11,0,0,16,0,0,0,25,11,150,1131861,0.000132525,0.013252511,4.01
,e07af1c8d6ba26edfdf4fd4a03637b22,16,8,12,11,0,9,9,0,12,38,0,0,0,11,0,13,0,0,0,0,0,0,14,0,153,1131861,0.000135176,0.013517561,4.01
,abf320b88f186e4d58caaad5269eec4a,0,0,0,0,0,0,0,23,0,0,0,0,19,16,16,0,12,16,15,0,10,0,16,13,156,1131861,0.000137826,0.013782611,4.01
X,0e1f53744bae7e235180cc03167e50fc,0,0,0,0,0,0,0,20,21,11,16,14,0,0,17,16,0,14,0,18,0,0,0,12,159,1131861,0.000140477,0.014047661,4.01
X,8acf98e90b03c6e2b7cd8d66b96f76b0,13,0,0,0,9,0,0,13,0,0,0,0,0,0,14,12,13,17,0,0,24,21,0,25,161,1131861,0.000142244,0.014224361,4.01
X,5431b56452ec0edd4808b4e8151b44d7,27,17,25,15,0,0,11,0,9,0,11,0,20,0,0,0,0,0,0,11,0,0,17,0,163,1131861,0.000144011,0.014401062,4.01
,f3c7962f5072986528a3f2161cbc4a11,0,6,0,4,12,0,0,11,3,5,0,7,0,14,0,15,14,20,0,16,11,13,0,17,168,1131861,0.000148428,0.014842812,4.01
X,2c5f08689a5ddb6cf45c98388f8bb749,8,0,14,0,14,0,0,26,0,0,8,0,12,48,0,9,0,0,0,0,0,13,20,0,172,1131861,0.000151962,0.015196212,4.02
,bb618c07d8b9cdb0d42ec2541ba82725,0,16,7,0,0,12,0,26,9,10,10,0,0,0,0,35,17,16,0,13,0,14,0,0,185,1131861,0.000163448,0.016344763,4.02
,f70353692f65154433c11996f20b22c2,0,0,0,5,0,0,12,0,0,0,0,11,9,9,0,13,0,40,9,37,16,0,6,19,186,1131861,0.000164331,0.016433113,4.02
,d8a190cda3f0e71443c891d10790cdf2,0,0,7,8,16,16,29,12,0,10,16,0,11,18,0,10,0,0,0,11,0,0,8,15,187,1131861,0.000165215,0.016521463,4.02
X,104dd983684effc650376e4593cdb110,22,0,17,19,0,4,5,10,0,12,19,0,22,0,9,0,0,0,10,0,0,8,18,16,191,1131861,0.000168749,0.016874864,4.02
X,24abf7bfaf309973513207720f873430,0,11,0,0,0,0,0,29,0,17,0,0,0,12,0,28,28,23,21,0,13,0,0,23,205,1131861,0.000181118,0.018111765,4.02
X,0d52df3ec2c06bcb997499ad7f1b00d7,0,15,0,0,13,0,0,0,7,0,0,9,13,23,14,0,12,13,18,15,7,22,26,0,207,1131861,0.000182885,0.018288465,4.02
X,3b53c57d6dd8fdcb547ce42dfd8ab2d5,21,0,12,0,13,0,0,0,0,0,21,0,0,25,14,12,0,0,20,0,9,22,29,16,214,1131861,0.000189069,0.018906915,4.02
,f87fac0587d674e089d69d4ad4e9d0cf,24,0,25,0,8,0,11,22,0,0,0,0,9,0,7,15,22,13,28,8,0,14,0,8,214,1131861,0.000189069,0.018906915,4.02
X,8794cdb3944890e267fa418f85e25d58,0,21,0,0,32,33,30,0,0,11,11,24,0,10,0,32,0,0,0,23,0,0,0,0,227,1131861,0.000200555,0.020055466,4.02
X,5902a635fbbaa70769045e37ef1bb20b,12,0,0,0,0,0,20,23,0,17,0,27,0,0,22,35,0,0,0,27,28,0,0,18,229,1131861,0.000202322,0.020232166,4.02
,dc36b0fe75ac832d46c5d905d1e67dbb,30,24,0,0,0,0,31,0,0,13,9,19,0,41,0,0,0,10,0,0,18,0,36,0,231,1131861,0.000204089,0.020408866,4.02
X,13e319d64e89630aa2c798f24cd3f75d,0,39,0,4,0,0,23,0,43,25,19,20,0,0,0,0,0,0,0,15,0,0,18,27,233,1131861,0.000205856,0.020585567,4.02
X,5beb719d2153498ea99e740ee8b22a99,23,0,0,0,42,0,37,0,17,14,17,0,25,0,0,20,24,0,0,15,0,0,0,0,234,1131861,0.000206739,0.020673917,4.02
,bacbe60d58b991f07b8136140eadd5c8,22,15,20,0,26,0,21,0,0,44,11,19,0,0,0,19,0,0,0,0,0,0,25,13,235,1131861,0.000207623,0.020762267,4.02
,e4f3d014197dbe0b51d919dd79d6a401,0,9,0,0,21,4,6,20,8,9,15,0,0,20,18,22,6,0,21,14,0,18,24,0,235,1131861,0.000207623,0.020762267,4.02
X,6f201daa07694ea5ead1344c7310baeb,0,0,0,8,30,8,0,26,0,15,26,0,0,54,0,0,0,26,0,0,0,0,26,22,241,1131861,0.000212924,0.021292367,4.02
X,84bcf042e3a9faf5a79ebeb6b4cc2284,0,17,0,0,16,0,10,16,0,6,0,8,20,0,31,10,29,19,0,9,16,19,0,16,242,1131861,0.000213807,0.021380717,4.02
X,2d12daf59d919a9813ce7e5d6490c5b0,41,22,0,0,0,0,17,18,13,12,0,13,0,0,0,18,11,0,0,24,0,26,8,22,245,1131861,0.000216458,0.021645767,4.02
X,9579a5f30c614e368b67f8feca65e1bb,0,0,0,0,17,0,0,38,0,0,0,0,0,0,0,22,24,33,0,31,17,27,14,22,245,1131861,0.000216458,0.021645767,4.02
,aa4a7da60cbfadf333c660778816fa41,9,0,0,0,21,16,15,42,0,0,0,0,0,0,0,9,26,39,16,11,13,30,0,0,247,1131861,0.000218225,0.021822468,4.02
X,1e6d17fc81733f6b3139f507ea8b3964,26,24,0,0,0,0,31,0,14,16,0,9,0,0,0,45,0,14,0,47,22,0,0,0,248,1131861,0.000219108,0.021910818,4.02
X,2b24fb649625bc5758bd7fb56cc6f051,19,0,15,8,0,27,0,0,0,0,0,0,0,0,0,11,24,29,0,24,40,43,0,9,249,1131861,0.000219992,0.021999168,4.02
X,324508fc7efa1c35109b7e930d883fb3,0,18,24,0,0,31,0,24,23,13,14,0,0,0,0,33,0,0,0,45,0,0,30,0,255,1131861,0.000225293,0.022529268,4.02
X,4dd6e1691a3e806c8f86c206bcd9cb3d,19,11,0,0,0,0,28,0,0,21,0,20,0,25,0,20,14,0,0,12,0,26,31,29,256,1131861,0.000226176,0.022617618,4.02
,e2883c80ad609c3a91bc5f14d8931447,35,0,34,0,21,0,26,16,0,17,0,22,0,18,0,0,18,0,0,34,0,0,15,0,256,1131861,0.000226176,0.022617618,4.02
X,2d66d59115e5f8c6d716f72f4fc26f23,0,0,0,0,0,19,22,23,0,0,11,15,0,0,12,31,23,22,0,15,17,49,0,0,259,1131861,0.000228827,0.022882668,4.02
,fb877d5fc2c9ec4bd9d9a163fa05486e,12,21,0,0,0,0,32,23,0,31,0,16,0,0,0,0,0,0,0,30,50,0,13,33,261,1131861,0.000230594,0.023059369,4.02
X,9af46ca9a2e9be167a4699576e46986e,0,21,0,0,25,13,31,0,0,0,16,20,12,0,25,0,32,0,0,30,0,27,0,12,264,1131861,0.000233244,0.023324419,4.02
,d0ffd30a57208e2b4ee598ad0bf508ef,24,0,15,0,19,0,0,25,0,9,0,0,13,22,8,0,36,15,0,0,20,25,20,16,267,1131861,0.000235895,0.023589469,4.02
,e4d9699729e0e056a0c772efc6dd6005,0,0,0,0,23,0,6,43,0,0,16,0,0,38,36,0,0,14,36,0,0,31,15,11,269,1131861,0.000237662,0.023766169,4.02
X,71dead4295f1f19d5201a138fc9cf474,12,0,0,26,10,0,19,19,23,15,0,14,0,26,0,0,29,19,0,0,0,8,34,16,270,1131861,0.000238545,0.023854519,4.02
,b3540c0af25833630dbb3a1d2971ede1,0,17,13,0,29,0,0,0,28,18,0,18,0,0,13,50,0,0,0,31,33,22,0,0,272,1131861,0.000240312,0.024031219,4.02
,e30f1976c624474a5983076439bf1b80,0,0,0,0,21,0,12,27,0,0,0,0,0,36,20,39,0,29,17,34,0,20,18,0,273,1131861,0.000241196,0.024119569,4.02
,fdb5cea9da6632a6eca6c002cd6397e4,0,0,28,0,0,50,0,0,0,0,0,8,17,27,0,0,0,23,21,0,28,46,25,0,273,1131861,0.000241196,0.024119569,4.02
,fff06545d9062bf857e4ce4ebf59d76f,31,15,0,0,14,27,0,0,9,0,20,22,22,0,0,16,16,15,0,0,0,0,38,31,276,1131861,0.000243846,0.02438462,4.02
X,574a6d8a4a9e23f799340bb050914c84,0,9,6,0,0,25,21,28,0,0,0,27,4,0,32,0,0,0,28,0,37,43,0,17,277,1131861,0.00024473,0.02447297,4.02
,ac23332462f5f95fd670fccdda1d3ecf,66,6,39,0,0,0,0,8,17,0,22,0,0,25,38,0,13,13,16,0,0,0,15,0,278,1131861,0.000245613,0.02456132,4.02
,f45b4cdf75020fdf298fe38e86bf0592,0,0,0,0,20,0,25,0,0,13,0,15,0,87,14,12,0,25,0,34,0,0,33,0,278,1131861,0.000245613,0.02456132,4.02
X,67d3747ee84f037e226b915881038a66,0,0,0,0,20,23,0,25,22,21,0,23,0,23,20,22,15,0,11,0,16,0,41,0,282,1131861,0.000249147,0.02491472,4.02
X,378ebc49aa43ea5c4d8eec8c50c0bb94,0,27,12,0,29,0,0,8,15,17,30,38,0,0,43,28,0,19,0,19,0,0,0,0,285,1131861,0.000251798,0.02517977,4.03
,a3fe53963e192e7bcf96e334a868edcc,27,25,0,0,0,0,0,0,16,0,14,24,0,0,0,47,36,0,0,26,0,15,42,13,285,1131861,0.000251798,0.02517977,4.03
X,7e30441b29be215e2ada6cb823b681ec,47,29,21,9,0,11,17,0,28,11,0,14,0,16,0,12,12,5,0,0,14,7,14,19,286,1131861,0.000252681,0.02526812,4.03
X,0d4ced5f977118b406077655d55deb3b,0,0,0,0,8,0,0,18,0,0,0,0,0,14,26,35,39,21,25,0,54,47,0,0,287,1131861,0.000253565,0.02535647,4.03
X,3aca17ea1d41cc369fd7e2b3d124d312,12,23,0,7,25,0,13,16,0,17,15,14,29,0,27,0,17,9,0,26,0,0,21,18,289,1131861,0.000255332,0.025533171,4.03
X,14a79b7e1862deef2d42d29f4b716778,19,14,0,10,0,13,8,0,13,0,13,13,0,0,13,21,27,8,0,40,20,9,11,39,291,1131861,0.000257099,0.025709871,4.03
X,32d1cf5151284481294b8f21fb52596a,38,13,12,9,16,0,0,0,13,0,0,13,15,31,18,0,15,10,13,14,11,0,33,17,291,1131861,0.000257099,0.025709871,4.03
