XXX,Sample,FD1,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD37,FD38,FD39,FD4,FD40,FD41,FD42,FD5,FD6,totalsinsample,total all samples,relabund,scale,size
X,8b7057d889d0cdff9a4ea90d5826d89a,1,2,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,1,3,0,3,2,0,21,20786,0.001010295,0.101029539,4.101029539
,b9bfac159f30623d1b4db12490716e20,0,2,0,0,0,0,1,4,0,5,0,3,2,0,2,0,2,1,0,0,4,4,0,0,30,20786,0.001443279,0.144327913,4.144327913
X,3b1aa49c9d2da95dc31dcbed0d213e98,4,1,0,0,0,5,1,0,1,0,4,0,0,0,4,0,2,0,1,6,2,0,0,0,31,20786,0.001491388,0.149138843,4.149138843
X,6ecd9a063a59e75728b947c9dd08e516,0,0,0,2,3,1,0,0,5,2,0,2,2,0,1,2,2,1,1,3,4,2,0,2,35,20786,0.001683826,0.168382565,4.168382565
,b7a5482c7191785711d021272ee87956,0,0,4,0,0,0,3,0,0,4,0,0,2,0,2,9,6,1,0,2,2,1,0,0,36,20786,0.001731935,0.173193496,4.173193496
,bf7433a784642452c9cc06e8649a9c82,0,0,0,0,1,14,1,0,2,0,0,0,2,0,6,0,1,1,1,0,0,2,0,6,37,20786,0.001780044,0.178004426,4.178004426
X,23e0a7fa1fc58082ddd47e33976ad7c7,2,3,0,0,0,1,1,1,0,0,0,0,1,1,0,0,4,1,0,10,5,0,7,1,38,20786,0.001828154,0.182815356,4.182815356
X,66945ae4ca72c5195f82e8a979518b43,3,0,0,4,2,3,0,0,1,0,2,5,9,0,2,0,0,0,3,3,0,1,0,0,38,20786,0.001828154,0.182815356,4.182815356
X,8b1fcdd9acd57c81c2960873fa07acc7,4,0,0,3,0,7,1,8,1,0,0,0,3,0,3,0,2,0,0,3,3,3,0,0,41,20786,0.001972481,0.197248148,4.197248148
,d4e8be1da3bef309a346b58058e5ecbc,0,0,0,0,1,4,0,4,9,0,2,1,0,0,0,0,2,0,3,8,0,2,0,6,42,20786,0.002020591,0.202059078,4.202059078
,e7f614c31ad3389a09ee5b8fd5b24496,9,7,4,0,1,6,3,0,0,0,0,0,0,2,1,0,0,0,6,2,0,0,7,0,48,20786,0.002309247,0.230924661,4.230924661
,b5db273fb027096019dad0da50e0eb6a,0,1,0,0,3,9,4,10,0,0,0,2,0,1,2,7,1,6,0,0,5,0,0,0,51,20786,0.002453575,0.245357452,4.245357452
,b34bfeabb3eee801d1327fa599dc62dd,0,0,0,0,0,0,0,0,5,4,6,0,3,2,0,17,0,1,7,5,0,2,0,5,57,20786,0.00274223,0.274223035,4.274223035
X,39f85773af9d25895b93b0d15b06cb44,0,3,0,1,0,0,0,5,9,0,0,0,2,2,3,0,0,0,19,0,0,0,14,1,59,20786,0.002838449,0.283844896,4.283844896
X,15267f1f06baa4f926bead554d979492,13,1,5,5,7,0,6,0,5,0,0,0,3,0,0,0,0,0,0,9,0,0,0,6,60,20786,0.002886558,0.288655826,4.288655826
X,69506f09f5095aa4d5b25e07c8fa5311,3,4,0,4,2,2,0,5,3,6,0,2,8,4,1,0,0,1,1,2,2,4,6,2,62,20786,0.002982777,0.298277687,4.298277687
X,50c64d73b0dff610573e659c26d3d2f0,0,1,0,0,0,8,0,4,6,0,0,0,0,0,0,15,6,13,0,5,6,1,0,0,65,20786,0.003127105,0.312710478,4.312710478
X,263728ce20319c13740eac569ce442a3,0,2,0,0,17,7,0,0,0,0,0,0,0,0,7,0,9,1,4,8,9,2,0,11,77,20786,0.003704416,0.370441643,4.370441643
,dd15c93c31f1d3142f0553354486035e,0,10,0,0,1,0,4,9,0,1,2,4,5,3,6,5,1,4,0,3,10,8,0,2,78,20786,0.003752526,0.375252574,4.375252574
X,723f16e12869e91f3596e50f7edeee01,0,0,0,0,3,6,8,33,2,0,0,2,0,0,11,0,0,5,0,0,5,2,0,4,81,20786,0.003896854,0.389685365,4.389685365
,b53f214bd590edb5db458ab51c85ab8c,0,6,0,0,5,27,7,15,0,0,0,0,0,0,1,0,1,8,0,1,0,12,0,0,83,20786,0.003993072,0.399307226,4.399307226
X,2546e87f73ee7e654aae9377120d7466,0,6,0,1,0,0,0,11,0,0,0,0,1,11,4,0,0,15,14,4,9,16,4,0,96,20786,0.004618493,0.461849322,4.461849322
,b941d125fbe459ea53247a77310022d1,0,0,0,0,2,0,6,10,0,0,0,3,4,2,1,0,13,16,0,25,16,0,0,0,98,20786,0.004714712,0.471471183,4.471471183
X,6ced55d82608cd08c5ce8db86bab90c5,0,5,0,0,2,6,1,23,0,8,5,3,20,4,14,0,6,1,3,6,6,3,0,3,119,20786,0.005725007,0.572500722,4.572500722
X,96184161ff816917e03d5b3f1cbb3cae,0,6,0,10,7,8,2,1,1,3,0,10,15,2,3,4,0,2,0,20,13,2,3,8,120,20786,0.005773117,0.577311652,4.577311652
X,5b6f5fe19f90f0464f120d0b8314831d,0,0,0,4,7,46,7,0,4,0,1,0,5,8,9,0,4,4,0,3,5,5,0,9,121,20786,0.005821226,0.582122583,4.582122583
X,775fec4da6070b6a49e76c4f91f125bb,20,5,0,2,1,14,3,3,6,3,5,5,5,7,8,0,1,3,4,14,0,7,5,4,125,20786,0.006013663,0.601366304,4.601366304
,a0b41db4c12c221991d9a1b964e9c532,7,0,3,8,0,0,1,0,6,0,2,3,2,8,0,0,0,0,62,2,6,0,7,10,127,20786,0.006109882,0.610988165,4.610988165
,bd108e6225156377be34bce0910ba03c,2,2,3,12,1,2,2,10,9,1,5,3,18,8,6,4,1,9,14,2,5,12,4,0,135,20786,0.006494756,0.649475609,4.649475609
,de059035279d147aaceb91a3832bd04f,0,18,0,0,2,11,0,9,0,13,0,2,4,0,20,0,14,18,0,13,13,0,0,0,137,20786,0.006590975,0.659097469,4.659097469
X,802511e6d3a7b14d39e19de6e94d923f,30,18,0,7,0,6,0,0,5,43,0,23,7,0,1,0,7,0,0,0,0,0,0,0,147,20786,0.007072068,0.707206774,4.707206774
X,206812a187831b7a055c0ecfbf42fecf,31,12,1,4,7,4,2,0,3,30,2,0,0,7,3,0,0,0,6,10,0,0,5,22,149,20786,0.007168286,0.716828635,4.716828635
X,4e2c801215cf206ccb1a0c5be1e4fd45,4,1,0,1,13,17,0,15,0,0,3,0,16,4,10,4,19,17,0,7,3,10,0,5,149,20786,0.007168286,0.716828635,4.716828635
,e71bf5751d8d23f8c83b8cb823163c94,0,0,0,0,0,0,2,42,0,0,0,0,0,30,51,12,2,1,2,10,0,0,0,3,155,20786,0.007456942,0.745694217,4.745694217
,ac78a742aa74105a18310f4a275e4b97,4,8,3,15,19,15,6,13,1,0,0,0,0,5,8,0,2,0,15,1,4,2,10,26,157,20786,0.007553161,0.755316078,4.755316078
X,4da6d3edcf722c11f7d6c1bf3118e17a,13,28,3,3,0,17,0,0,57,0,3,3,0,10,11,0,0,0,0,10,0,0,1,0,159,20786,0.007649379,0.764937939,4.764937939
,c2bbecb72788dfac5258f79048143acb,11,0,8,6,13,0,3,6,0,5,0,13,7,0,7,0,0,8,7,13,35,8,9,0,159,20786,0.007649379,0.764937939,4.764937939
