"","V1","V2","V3","V4","V5","V6","V7"
"X15267f1f06baa4f926bead554d979492",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X39239d8a919bd2e038baf628fcb8d17b",1,0,0.000342935528120713,NA,0.0185185185185185,0,0.0185185185185185
"X23fdf4be4e673395677ee65190c6ea17",1,0,0.00105042016806723,NA,0.0185185185185185,0,0.0567226890756303
"X8c7b2024ebd20ba6ae4e4330080a58da",6,79.247027972028,0.00109409190371991,0.2,0.111111111111111,0.0553787756617945,0.0590809628008753
"X39f85773af9d25895b93b0d15b06cb44",2,0,0.00105932203389831,1,0.037037037037037,0,0.0572033898305085
"X9530fd73b85e82f5b83873dad2d153b0",10,105.289203851704,0.00109529025191676,0.244444444444444,0.185185185185185,0.073577361182183,0.0591456736035049
"X99e80fb647ce348098a816eb94ee6053",9,46.5310439560439,0.00108932461873638,0.416666666666667,0.166666666666667,0.0325164527994717,0.0588235294117647
"X50c64d73b0dff610573e659c26d3d2f0",6,101.227301864802,0.00108813928182807,0.266666666666667,0.111111111111111,0.0707388552514338,0.058759521218716
"d093275fd99cef0566cb0d69545f1edd",11,83.1972194472195,0.00110253583241455,0.363636363636364,0.203703703703704,0.0581392169442484,0.0595369349503859
"X02d30d756bdc2bef636557f8739cb345",2,1.5,0.00105485232067511,0,0.037037037037037,0.0010482180293501,0.0569620253164557
"X45a07a39fafc2c6b9f8505ca7c4f36a5",3,0,0.00107874865156419,1,0.0555555555555556,0,0.058252427184466
"ef03c72cbba847681429d4b9f1d0a7d1",2,38,0.00104712041884817,0,0.037037037037037,0.026554856743536,0.056544502617801
"abeda5d3ee7ffa0360ae1b0762fb785e",14,259.910926573427,0.00110741971207087,0.208791208791209,0.259259259259259,0.181628879506238,0.0598006644518272
"X802511e6d3a7b14d39e19de6e94d923f",1,0,0.00100704934541793,NA,0.0185185185185185,0,0.054380664652568
"X8b7057d889d0cdff9a4ea90d5826d89a",2,3,0.000362713093942691,0,0.037037037037037,0.00209643605870021,0.0195865070729053
"X66945ae4ca72c5195f82e8a979518b43",1,0,0.00036231884057971,NA,0.0185185185185185,0,0.0195652173913043
"c2bbecb72788dfac5258f79048143acb",2,4,0.000362844702467344,0,0.037037037037037,0.00279524807826695,0.0195936139332366
"b53f214bd590edb5db458ab51c85ab8c",5,3.5,0.00106951871657754,0.6,0.0925925925925926,0.00244584206848358,0.0577540106951872
"X723f16e12869e91f3596e50f7edeee01",4,74,0.00106951871657754,0.5,0.0740740740740741,0.0517120894479385,0.0577540106951872
"b5db273fb027096019dad0da50e0eb6a",4,1,0.00106837606837607,0.833333333333333,0.0740740740740741,0.000698812019566737,0.0576923076923077
"a0b41db4c12c221991d9a1b964e9c532",5,16.6939615939616,0.00108342361863489,0.5,0.0925925925925926,0.0116659410160458,0.0585048754062839
"X4e2c801215cf206ccb1a0c5be1e4fd45",3,2.20265151515152,0.0010752688172043,0.666666666666667,0.0555555555555556,0.00153923935370476,0.0580645161290323
"b941d125fbe459ea53247a77310022d1",4,16.8333333333333,0.00107411385606874,0.166666666666667,0.0740740740740741,0.0117633356627067,0.0580021482277121
"X206812a187831b7a055c0ecfbf42fecf",6,22.5328574203574,0.00109170305676856,0.666666666666667,0.111111111111111,0.0157462316005293,0.0589519650655022
"cc4f2e2e6f6159fcacbfcf8bda19f096",8,49.0081751581751,0.00109649122807018,0.464285714285714,0.148148148148148,0.0342475018575647,0.0592105263157895
"X2cfda56691de5044be05da7da673367e",8,105.004355366855,0.00109289617486339,0.321428571428571,0.148148148148148,0.0733783056372155,0.059016393442623
"X151567602b94de92f189c4bca4c0b757",8,132.602894327894,0.00109649122807018,0.428571428571429,0.148148148148148,0.0926644963856704,0.0592105263157895
"X378a113b53e89acd9bbba8a0e604be72",2,2.25277777777778,0.00105042016806723,0,0.037037037037037,0.00157426818852395,0.0567226890756303
"dd15c93c31f1d3142f0553354486035e",5,46.7880952380953,0.001085776330076,0.2,0.0925925925925926,0.0326960833250142,0.0586319218241042
